"","disp_est","disp_lower","disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_DI_est","attr_DI_lower","attr_DI_upper"
"CMCC-CM2-HR4",0.0405777581198747,0.030963405393912,0.0481145518380969,147.897758582307,19.9763818966522,3.57093624592922,211.172375016329,-24.7768873593879,-37.0457532887157,-10.9981976630791
"CMCC-CM2-VHR4",0.0510628825703587,0.0398091816546058,0.0588268933157313,200.850109559438,4.59240111656921,0.781170993786789,29.3809716696446,-18.3736936406076,-35.3309035055655,2.70689062177609
"CNRM-CM6-1-HR",0.0634896139576275,0.0517336899078159,0.0716741945739481,97.6960184073578,31.0187414698815,4.35848403545935,768.797351583841,-35.600181296198,-52.025130426538,-16.7053783171783
"CNRM-CM6-1",0.0922428170657845,0.0657447309849802,0.115484105316792,89.9855721387209,4.56947985205169,1.11850410033809,26.6037592273872,-28.2394910464338,-50.5233105652829,-1.88219857467162
"EC-Earth3P-HR",0.0625787677337934,0.0494663648567561,0.0715357296475664,96.4067446428279,14.0303578265158,2.18766637040369,291.001237142593,-35.1975120267488,-53.635384269958,-12.3940614696066
"EC-Earth3P",0.0671882527864223,0.0497881466044442,0.0816956524098715,108.76356197405,7.27965681595275,1.19100091725861,154.965904049577,-29.5919224899216,-51.3227214223311,-3.2328414525919
"HadGEM3-GC31-HM",0.0457637455735658,0.0330360352784127,0.0570687098050118,156.614839791069,6.75163238680481,1.5713647924334,57.9569248656943,-21.5027218263887,-34.717370372917,-5.7383560388207
"HadGEM3-GC31-LM",0.0699796200928695,0.0535044165871559,0.0820392582515031,108.209269880323,10.9392003963352,1.86154525900481,100.962645969192,-30.5664588483916,-48.7162194564808,-8.17576119782787
"HadGEM3-GC31-MM",0.059332939136145,0.0490475590686055,0.0666891928636769,125.852315225089,23.2638427156285,4.31640043873148,342.573968812776,-36.625049277742,-52.1133612223368,-19.823134732472
"MPI-ESM1-2-HR",0.119987408137333,0.0930559749005091,0.144298920099768,50.2591320250099,2.56319692534823,0.458522787110316,16.8691789970226,-23.1300405398658,-51.6788764167085,19.9889182902029
"MPI-ESM1-2-XR",0.104015798060419,0.0773557651829604,0.123925712011603,54.7432711074187,2.37639281833876,0.638974280148149,10.5708007523717,-18.4347510645015,-38.8086439473497,10.9149407581772
