"","disp_est","disp_lower","disp_upper","event_magnitude","rp_est","rp_lower","rp_upper","pr_est","pr_lower","pr_upper","rel_DI_est","rel_DI_lower","rel_DI_upper","abs_DI_est","abs_DI_lower","abs_DI_upper"
"ts/EA-drought_pr-ond_stn-lamu.dat",0.22879,0.16046,0.28694,215.8,1.41597,1.18201,1.85213,0.73085,0.54902,0.93474,205.06369,32.23808,604.25232,145.06067,52.60914,185.15757
"ts/EA-drought_pr-ond_stn-lodwar.dat",0.5522,0.42107,0.70889,56.1,1.32624,1.11786,1.59465,0.90004,0.6918,1.20069,53.62291,-57.05462,349.85894,19.58201,-74.53203,43.62942
"ts/EA-drought_pr-ond_stn-malindi.dat",0.15325,0.11914,0.18732,204,1.51724,1.20963,2.04714,0.6948,0.50532,0.97744,121.757,4.03347,342.11179,112.00741,7.90905,157.85774
"ts/EA-drought_pr-ond_stn-mandera.dat",0.20312,0.15172,0.24554,266.7,1.24482,1.08946,1.51108,0.85722,0.69751,1.05451,79.7558,-18.76369,252.23248,118.33205,-61.60148,190.98296
"ts/EA-drought_pr-ond_stn-mombasa.dat",0.09695,0.07602,0.11279,323.8,1.33143,1.11301,1.7618,0.81196,0.58364,1.13586,45.44079,-20.07756,133.11932,101.16644,-81.3428,184.90105
"ts/EA-drought_pr-ond_stn-mtwapa.dat",0.09342,0.06552,0.11123,339.3,1.3609,1.078,2.12799,0.83834,0.48212,2.23379,29.7557,-55.02462,283.88849,77.8086,-415.11364,250.91487
"ts/EA-drought_pr-ond_stn-voi.dat",0.09301,0.06813,0.11421,298.9,1.36465,1.10907,2.01961,0.98634,0.57749,1.66471,1.56973,-46.46187,64.11679,4.6194,-259.39514,116.77358
