"","disp_est","disp_lower","disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_DI_est","attr_DI_lower","attr_DI_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_DI_est","proj_DI_lower","proj_DI_upper"
"AFR-22_CanESM2_r1_CanRCM4",0.0448260381818421,0.0354199933169719,0.0526594076380889,128.962886478066,0.872158621073874,0.580526773279979,1.05194499545251,1.95158502526109,-0.846272324046558,9.68193091821185,0.639800923901804,0.405187076056228,0.700133705291114,5.25442032055998,4.07271454208123,8.12597855607807
"AFR-22_HadGEM2-ES_r1_CCLM5-0-15",0.148072287552013,0.138311769547126,0.165341094646491,19.5960996850516,1.07567868899117,1.03096855605563,2.16424156079862,-1.9801598907072,-17.5439675954472,-0.935373669754127,0.744116158855214,0.560773864252077,0.819121273627093,6.96853960708249,5.28603976185669,11.0825171827877
"AFR-22_HadGEM2-ES_r1_RegCM4-7",0.101372782011151,0.0896284893553036,0.13052702042526,43.4341713944416,1.90303191604741,0.778656542246524,3.21046136609665,-13.4056989621651,-21.3805597477029,4.57062376531884,1.12634891597811,1.0580348546684,1.62019318087373,-2.33029243452849,-7.5417471701055,-1.42544037060962
"AFR-22_HadGEM2-ES_r1_REMO2015",0.104429371973851,0.08405562176334,0.141014393106993,34.9013173964782,0.754498026006167,0.39718582807598,1.3473192040878,7.22331598911713,-6.37267613509605,23.0174396640244,0.717954310620338,0.627085809369352,0.888057267436318,6.85968049613387,2.9150874805309,10.2705820154094
"AFR-22_MPI-ESM-LR_r1_CCLM5-0-15",0.110873078958853,0.102311565660113,0.114261777342552,46.8353438493219,1.24442369778514,0.702373312314166,1.48196219219933,-5.78185298675034,-10.654686816821,9.08024598839349,1.18930095166989,1.06555054051302,1.29990907840183,-5.36445078864966,-8.00989366077858,-2.28053673601656
"AFR-22_MPI-ESM-LR_r1_REMO2015",0.0816197043752491,0.0722629059873312,0.0873789160568721,61.5205667458705,2.22957619629111,0.670286343701006,4.50662096292436,-15.0261498672705,-28.8886352687513,9.13135684431803,1.31218308868289,1.01844925069421,1.60277232204192,-6.6825346508679,-14.388213853538,-0.436897234877395
"AFR-22_MPI-ESM-MR_r1_RegCM4-7",0.0783713920223366,0.0706580960900915,0.0806268806614027,90.984384399283,0.62538947486327,0.209668101008255,0.85716338268864,12.2551610093738,3.81913788067676,38.5349656499114,1.16774546056525,0.819659370230516,1.16308156467404,-4.00666577216799,-3.79088677584653,4.0829887132911
"AFR-22_NorESM1-M_r1_CCLM5-0-15",0.130833487698108,0.122814990140409,0.138545573444905,31.4991204410825,0.851311925161809,0.708137300230227,3.5615791064147,4.98371083062092,-25.3685411968709,10.3978716556493,1.36449802123453,1.06918848777794,1.62549555418654,-10.7707421778601,-18.6032888291658,-2.28746725288267
"AFR-22_NorESM1-M_r1_RegCM4-7",0.111770448034647,0.094943429392954,0.121939735706354,47.4494330973206,1.16386826599375,0.708114752597034,4.17061996076904,-4.09263708055623,-25.1972174633411,13.1967962393785,1.25417463296881,0.847537097811523,1.43641232200665,-6.49901632736611,-10.2573206647524,4.59794484354542
"AFR-22_NorESM1-M_r1_REMO2015",0.130342036135582,0.124796503735851,0.141696761647344,27.8541527527299,2.17024531679857,1.09374936889984,7.81193642364539,-19.0284726955595,-37.8347782014283,-2.28150154073889,1.31726794958274,0.914079325286264,1.8103238837623,-7.67618771374665,-14.0851363149559,1.76796996716908
