"","disp_est","disp_lower","disp_upper","sigma_est","sigma_lower","sigma_upper","event_magnitude","rp_est","rp_lower","rp_upper","pr_est","pr_lower","pr_upper","rel_DI_est","rel_DI_lower","rel_DI_upper","abs_DI_est","abs_DI_lower","abs_DI_upper"
"cpc",0.02798,0.02122,0.03282,0.08199,0.06249,0.09598,588.2868,21.47824,8.05635,135.69069,2.27386,0.0904,361.33541,-6.6726,-31.25869,21.18943,-42.06057,-267.51131,102.85892
"chirps05+centrends01",0.02475,0.0215,0.02733,0.07321,0.06364,0.08087,707.1602,19.31896,7.84467,68.97395,0.68806,0.11,4.51354,3.25257,-11.78421,19.15895,22.27632,-94.46519,113.7006
