"","disp_est","disp_lower","disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_DI_est","attr_DI_lower","attr_DI_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_DI_est","proj_DI_lower","proj_DI_upper"
"AFR-22_CanESM2_r1_CanRCM4",0.0365386031020312,0.0265638096473424,0.0426371812933302,259.606138285775,0.339666900584037,0.0627721866553029,0.799170616520349,24.1206705164925,13.6300670528274,35.2614461587807,0.329445209991694,0.125568762240889,0.603138868332702,11.432377815228,8.81894481665696,14.2648069096974
"AFR-22_HadGEM2-ES_r1_CCLM5-0-15",0.082660137536402,0.0582723940525216,0.0994518195272855,23.851279218799,1.57265234719028,0.78451627861817,5.63379129987454,-10.1464763781659,-24.5045391718062,6.31106468595583,1.13694166788798,0.828424382483321,1.59073513322195,-2.79898246753589,-9.43826010987534,3.59764511891694
"AFR-22_HadGEM2-ES_r1_RegCM4-7",0.0433370618852048,0.0342663533440882,0.0492872297372134,103.783762976027,0.963080405860276,0.360982012910497,4.31945273614356,0.61478362248835,-10.9290052660583,12.8642356259587,1.06950956152069,0.66195793478494,1.68126807790952,-0.944107407422225,-5.20692549442173,4.63460998063573
"AFR-22_HadGEM2-ES_r1_REMO2015",0.0809866900118602,0.0578325966113361,0.0976770528919835,36.1546033328726,1.1790357967743,0.494032882377604,4.31336981039964,-3.51366971306049,-18.1654791855602,11.8600871809286,1.30162821590497,1.00003063495913,2.08338239588239,-6.90721847723189,-13.6771823608564,-0.121929913385952
"AFR-22_MPI-ESM-LR_r1_CCLM5-0-15",0.0886882606658851,0.0668605878223311,0.101985279952592,77.7784561647169,0.376732338369453,0.109717888805822,0.804578125846943,43.1442464614624,9.94258953123288,81.5391919850425,0.828610983236817,0.513425590115188,1.06696974846458,7.23170686272609,-3.32267489825941,18.0441331240236
"AFR-22_MPI-ESM-LR_r1_REMO2015",0.0740586766131044,0.054592752503444,0.0893080950283825,111.562451603009,0.318090822536305,0.0572498037827962,0.775797782132903,49.1911751407569,10.658005578035,91.1197526877099,0.807439667876224,0.504690594007215,1.08874659090306,7.28823423918036,-4.34837947419211,16.5510889386533
"AFR-22_MPI-ESM-MR_r1_RegCM4-7",0.0629393865413339,0.0470940383506734,0.074491287097337,235.087548217906,0.452960031529296,0.0714269030008842,1.30570899669203,27.6814159954326,-9.06344315161337,74.8979896937508,0.410559543201805,0.103673699972049,0.830715269558952,20.1328363499327,9.20678676285408,30.7285418649749
"AFR-22_NorESM1-M_r1_CCLM5-0-15",0.0674939035542273,0.0500206039858425,0.0810357721539673,51.4259237230131,0.59113347473213,0.140733694200458,1.24858450715499,12.195690758351,-5.15216588447689,35.3291957640829,0.800870341645233,0.416814523427026,1.12406457875442,3.6752982000711,-2.81105688528497,10.1189072527505
"AFR-22_NorESM1-M_r1_RegCM4-7",0.0368669390695167,0.0281419362839871,0.0432972105800791,101.536169161386,0.562110278848244,0.0514166227526606,2.58928914887358,8.52473135360809,-9.67206696037955,29.6749825368031,0.869146286024308,0.267905645744065,1.44063396781223,1.60594583244516,-4.73730519066568,8.58462392461358
"AFR-22_NorESM1-M_r1_REMO2015",0.0611969890567211,0.0461908689491144,0.0709841961670125,47.9203948156203,1.01607500155385,0.169483455191215,10.8856939050369,-0.295481056043927,-24.4859667877874,31.4641872113357,0.880218907112515,0.333346367589365,1.52597569152803,1.86010667294255,-5.60598355000239,10.3596434541261
"AFR-44_CanESM2_r1_CanRCM4",0.0376864184719778,0.0262371133967867,0.0445805804649941,299.577727826853,0.319106988639818,0.0588911065475041,0.738813787269699,28.7682196371915,16.9854195486388,41.0235203894011,0.33117977778038,0.126340065215617,0.60156861477615,12.1991860990614,9.59549351506586,15.2708555010082
"AFR-44_CanESM2_r1_RCA4",0.0563573794254212,0.0434783185764317,0.0638027138693647,160.305383113155,0.344692496923082,0.072598989909727,0.7684980402957,38.2895893730309,19.1532747643545,60.1636398315913,0.368087378353046,0.178745920554195,0.617368437036569,16.4734249093052,12.5541834998951,20.8675232523637
"AFR-44_CNRM-CM5_r1_CCLM4-8-17",0.0564588743417708,0.0445730837337126,0.0644825601607596,81.4007533119348,1.1395565711684,0.286910066844671,4.15360483875351,-2.46375225824677,-18.3201924587014,20.6743921323309,1.09969899115612,0.853581384885868,1.52717971996326,-2.55414926335038,-8.77609996609697,3.2091824736475
"AFR-44_CNRM-CM5_r1_RCA4",0.0616744248961502,0.049812600638163,0.068287078435958,70.7785708763059,0.580868499027428,0.084618462955132,1.65393331155579,13.0984989689839,-8.72693998598419,42.3692995598739,0.763993507664033,0.392246585618341,1.00041184009708,5.76441461372867,-0.0427333459832417,11.9984823898469
"AFR-44_CSIRO-Mk3-6-0_r1_RCA4",0.0903664786282539,0.0639361485289671,0.109482570401696,62.4083275812959,0.401835695318385,0.0990703753041628,0.951453244458026,40.5970843366015,1.74217883573995,106.972830723875,0.6940126573031,0.410331889337023,0.979152148818995,9.6820634427436,0.741416125976705,19.4905105142795
"AFR-44_EC-EARTH_r1_RACMO22T",0.0382501619099199,0.0282980956162146,0.0444423092967315,295.057836483489,0.617979701254431,0.16551206965674,1.41794131412675,8.37061526588226,-6.91473851746444,25.7375408937249,0.556460324958223,0.24809237362403,0.84641526357475,7.91481937313491,3.30642825159418,13.1430802268629
"AFR-44_EC-EARTH_r1_RCA4",0.050869669614634,0.0377092184557952,0.0605631299865506,264.226577246156,0.567038429909008,0.166286509168725,1.21733694826771,13.9781683887347,-4.60335475789123,36.8144201292112,0.630397517905385,0.292884960794441,0.919280194126836,9.4443065157031,2.41596260454961,16.3361021657285
