"","disp_est","disp_lower","disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_DI_est","attr_DI_lower","attr_DI_upper"
"CMCC-CM2-HR4",0.0118643580481157,0.00892968017778,0.013997759170897,1328.19277994458,4.51151512707692,0.739831773233318,41.0974593000537,-5.54248857946595,-12.2448111710242,1.06499758341063
"CMCC-CM2-VHR4",0.013955892181323,0.0100076177260972,0.0168990900071941,1806.74183899861,3.00620005233489,0.413076148264098,34.2325116580136,-4.84379538769474,-13.7962269591972,3.56379851013804
"CNRM-CM6-1-HR",0.0166937138343484,0.0131888523753005,0.0195602961345998,930.816622107476,56.7431789781382,8.40392461590838,704.4496258313,-16.4717266557042,-23.2620728239303,-8.89899011763027
"CNRM-CM6-1",0.0245148731415585,0.017439675892011,0.0302277876148334,732.32663159988,10.0323343366996,2.18050506254735,99.7726347884154,-14.8100301442379,-28.5205899566627,-4.28363000416332
"EC-Earth3P-HR",0.0207683263872066,0.016731792705446,0.0239046017772022,598.028482083281,47.943596110079,4.49328063612903,2411.02058460464,-21.9562424187773,-32.861364466376,-10.4210750398032
"EC-Earth3P",0.0203478117118692,0.0154692417071249,0.0235410682733618,734.313741446566,23.8164068547455,3.14916441528059,657.513454116631,-17.1891239145596,-27.845014254037,-6.74458680739069
"HadGEM3-GC31-HM",0.015936010822275,0.0125747552088411,0.0182349988847666,933.549986106903,18.5332427449327,2.18079833919747,612.441068223921,-13.7980120507706,-22.7695213130558,-4.23496260265568
"HadGEM3-GC31-LM",0.0206793908570382,0.0161554521690527,0.0239888467014316,715.744229863409,49.5845325570216,4.81569598232692,1267.03729638815,-18.1369607141881,-27.0841075501264,-7.82143089017618
"HadGEM3-GC31-MM",0.021579639758142,0.017005323134972,0.02471272882953,865.119559483781,44.8980733967196,4.57492999448638,2399.10381500471,-20.1687343057517,-33.7696569133168,-8.76725508403598
"MPI-ESM1-2-HR",0.0268170904348825,0.0212577656060372,0.0311116628507771,451.798812419131,1.63220075101053,0.250334638525597,14.3265067571864,-3.89136853390905,-18.3981885850616,11.7815934767218
"MPI-ESM1-2-XR",0.0281578242503419,0.0224163016472319,0.0324986468103788,382.83528130413,1.74389134241704,0.279886848721831,19.6934108778674,-4.58528565405035,-20.9769982074155,10.7721101515645
