"","disp_est","disp_lower","disp_upper","rp_value","attr_PR_est","attr_PR_lower","attr_PR_upper","attr_DI_est","attr_DI_lower","attr_DI_upper","proj_PR_est","proj_PR_lower","proj_PR_upper","proj_DI_est","proj_DI_lower","proj_DI_upper"
"AFR-22_CanESM2_r1_CanRCM4",0.0161052617472464,0.0124457568135615,0.0191297420117378,922.66202412904,0.17773815062359,0.0359148057936818,0.456134733057836,11.9427501980711,6.45661229916864,17.7445820432287,0.150471052808748,0.0611959076296907,0.265094988103583,7.78165601851801,6.22305727434908,9.30472067817735
"AFR-22_HadGEM2-ES_r1_CCLM5-0-15",0.0357186976673411,0.0276755452900331,0.042078226366567,243.324716938516,2.46356289427483,0.904656161245222,6.95621776747812,-8.91678395301067,-17.8363871027183,0.996691735435682,0.891120691029792,0.530603344401683,1.3434092198997,1.05295116275595,-2.78995679139303,4.8597211646485
"AFR-22_HadGEM2-ES_r1_RegCM4-7",0.0162533921900502,0.0122665258097651,0.0189723457469851,871.238688769729,5.51809063245399,1.21355204129373,36.5423426798987,-7.8547376831084,-13.8448848959603,-0.975918483942099,1.94113121901402,1.2582535602156,3.23020134052547,-3.85285124983438,-6.60859172140226,-1.22961718318342
"AFR-22_HadGEM2-ES_r1_REMO2015",0.0227307189184081,0.0180003180610867,0.0259683603703123,564.307822811805,1.61909442455202,0.292912421547345,6.51701902642867,-3.15295787271413,-11.9877643718726,7.10264640147238,0.756720790173912,0.436494512645859,1.19329078598836,1.6486254190912,-1.18704036234705,4.16114457485158
"AFR-22_MPI-ESM-LR_r1_CCLM5-0-15",0.0431863409667183,0.0345649053289971,0.0493012605863322,389.034845954286,0.288048883589615,0.0781966564072231,0.732997433163683,21.3676770188928,5.39124992592842,41.8078842025745,0.881999581650356,0.549777822684581,1.23909358294427,2.17316575899844,-4.04267479744646,8.39267842809087
"AFR-22_MPI-ESM-LR_r1_REMO2015",0.0271454394665883,0.0215915307413034,0.0310815032972943,679.076650639522,0.194610647446337,0.0227847010920613,0.826238703229014,18.1850408935191,2.06561710001694,35.951153857516,0.987070071502461,0.607798977019846,1.42031966703312,0.181980135249446,-5.66104057005201,5.76216185646224
"AFR-22_MPI-ESM-MR_r1_RegCM4-7",0.0259795197714292,0.0202596954383051,0.0296562895925198,801.746505393215,0.592412554702131,0.0849288042403638,5.22687128349055,4.77951844874651,-11.7166113891098,24.136393262195,0.410749525717404,0.169970130652794,0.770588038844897,6.28378673845889,1.92786468689448,9.99547324695335
"AFR-22_NorESM1-M_r1_CCLM5-0-15",0.0258950985257933,0.0202541235944549,0.0299091094219932,538.654785462029,0.220476707662979,0.0494253731077745,0.7263936493598,15.9415238638869,3.11557014282192,31.7371871046185,0.64312063981779,0.350222264383153,1.0102417128086,3.75106531554126,-0.0964837889243823,7.36451511614285
"AFR-22_NorESM1-M_r1_RegCM4-7",0.0192238668079083,0.0146913619754025,0.0225245509543651,1064.03282506549,0.365451269178843,0.0541135204513222,4.17296346528769,8.34908035512562,-8.92073003619341,24.6328568036038,0.84333195584267,0.417507552685061,1.53718954094715,1.33991967645639,-3.71498229522754,5.62382446931049
"AFR-22_NorESM1-M_r1_REMO2015",0.0234098157780083,0.0188998960268047,0.0265893618330988,690.121176767333,1.02381777270173,0.123313567629449,8.78669718907345,-0.176446964655185,-14.3554002646516,15.7539875905682,0.357403671736962,0.12208276912283,0.810249713017321,6.25255989856904,1.57241453582101,10.1636239191247
