"","disp_est","disp_lower","disp_upper","sigma_est","sigma_lower","sigma_upper","event_magnitude","rp_est","rp_lower","rp_upper","pr_est","pr_lower","pr_upper","rel_DI_est","rel_DI_lower","rel_DI_upper","abs_DI_est","abs_DI_lower","abs_DI_upper"
"cpc",0.07976,0.05896,0.09302,0.16555,0.12456,0.19112,86.65762,7.34744,3.6935,30.53724,0.31706,0.0607,2.08818,39.38196,-16.52068,121.47803,24.48485,-17.14967,47.52997
"chirps05+centrends01",0.0675,0.0571,0.07627,0.14536,0.12248,0.16448,131.73563,2.86164,1.86545,5.23029,0.52235,0.23587,1.10086,30.17104,-3.95109,69.84511,30.53368,-5.41911,54.1734
