"","disp_est","disp_lower","disp_upper","sigma_est","sigma_lower","sigma_upper","event_magnitude","rp_est","rp_lower","rp_upper","pr_est","pr_lower","pr_upper","rel_DI_est","rel_DI_lower","rel_DI_upper","abs_DI_est","abs_DI_lower","abs_DI_upper"
"cpc",0.09112,0.06683,0.11084,0.19262,0.14105,0.24037,86.65762,9.27783,4.73672,36.1011,0.51682,0.06253,4.53706,20.61644,-33.13372,100.50202,14.81201,-42.94087,43.43729
"chirps05+centrends01",0.07642,0.06536,0.08585,0.16581,0.14088,0.18632,131.73563,4.28838,2.49753,8.72186,0.5377,0.19459,1.42565,23.62629,-11.53672,65.88922,25.17607,-17.18002,52.32376
