year,var
1950,22.41654
1951,23.42398
1952,22.53795
1953,22.86561
1954,23.26689
1955,22.5259
1956,22.87415
1957,23.83003
1958,22.35167
1959,22.25428
1960,22.74832
1961,23.7628
1962,22.26862
1963,23.08212
1964,22.26157
1965,21.9897
1966,22.58791
1967,22.43713
1968,22.31716
1969,23.64011
1970,22.43298
1971,21.94186
1972,22.67361
1973,23.08497
1974,21.8615
1975,21.88114
1976,22.38658
1977,23.33007
1978,23.1978
1979,23.33344
1980,22.85789
1981,22.19953
1982,22.18237
1983,22.44484
1984,22.10894
1985,21.99518
1986,22.22209
1987,22.71462
1988,23.15165
1989,22.86418
1990,23.19802
1991,22.86858
1992,22.974
1993,22.7589
1994,22.63475
1995,23.48414
1996,22.66396
1997,22.15754
1998,22.99546
1999,22.35468
2000,22.84632
2001,22.76745
2002,23.19492
2003,23.60711
2004,23.42465
2005,22.95962
2006,23.30248
2007,23.15068
2008,23.89902
2009,23.76079
2010,23.91076
2011,23.45216
2012,23.82248
2013,23.22046
2014,23.58082
2015,23.95313
2016,23.5238
2017,24.08703
2018,22.58242
2019,24.67491
2020,23.95687
2021,23.43929
2022,23.35411
2023,24.93383
