# distribution=gev fit_type=shift event_year=2022 lower_tail= restrain=0.4 include_event=on gmst_past=-1.2 gmst_fut=0.8 confint=95
run gmst_file sigma_est sigma_lower sigma_upper xi_est xi_lower xi_upper alpha_est alpha_lower alpha_upper rv rp_est rp_lower rp_upper pr_est pr_lower pr_upper di_est di_lower di_upper
t_era5_tmax_1day t_era5_tmax_1day 1.191 0.951 1.381 -0.123 -0.303 0.014 1.425 0.523 2.267 34.552 1.4205 1.1774 1.8895 3.0576 1.5018 6.4264 1.710 0.627 2.720
t_era5_tmax_3day t_era5_tmax_3day 1.157 0.954 1.318 -0.090 -0.278 0.023 1.269 0.462 2.097 34.244 1.9152 1.4338 2.7773 3.2605 1.5679 8.0790 1.523 0.554 2.516
t_era5_tmax_5day t_era5_tmax_5day 1.169 0.959 1.342 -0.101 -0.266 0.018 1.351 0.435 2.133 33.847 2.1266 1.5310 3.2787 3.7992 1.5453 13.133 1.621 0.522 2.560
t_era5_tmax_7day t_era5_tmax_7day 1.040 0.867 1.184 -0.062 -0.210 0.047 1.468 0.766 2.143 33.249 1.9492 1.4549 2.8265 4.7048 2.2682 13.817 1.761 0.919 2.571
t_era5_tmax_9day t_era5_tmax_9day 0.949 0.757 1.093 -0.040 -0.166 0.082 1.460 0.768 2.074 32.200 1.3093 1.1230 1.6998 3.8961 2.0806 8.3538 1.753 0.922 2.488
t_cpc_tmax_1day t_cpc_tmax_1day 1.038 0.772 1.223 -0.105 -0.318 0.074 2.342 0.946 3.781 37.908 4.1369 2.2216 12.838 36.988 5.5506 1e6 2.810 1.135 4.537
t_cpc_tmax_3day t_cpc_tmax_3day 1.094 0.826 1.268 -0.098 -0.325 0.088 2.448 1.073 3.858 37.606 7.3235 3.5726 36.149 46.079 5.8269 1e6 2.937 1.288 4.629
t_cpc_tmax_5day t_cpc_tmax_5day 1.137 0.900 1.333 -0.107 -0.319 0.048 2.709 1.237 4.265 37.459 10.095 4.1743 88.043 94.579 9.8649 1e6 3.251 1.484 5.118
t_cpc_tmax_7day t_cpc_tmax_7day 1.054 0.817 1.255 -0.079 -0.273 0.074 3.027 1.732 4.486 36.535 6.6422 3.1782 24.524 108.57 14.327 1e6 3.633 2.078 5.383
t_cpc_tmax_9day t_cpc_tmax_9day 0.996 0.715 1.176 -0.106 -0.289 0.079 2.856 1.553 4.116 35.617 4.4468 2.4651 15.066 155.92 10.513 1e6 3.427 1.863 4.939
