time,MOHC-HadGEM2-ES r1i1p1 CLMcom-KIT-CCLM5-0-15,MOHC-HadGEM2-ES r1i1p1 GERICS-REMO2015,MOHC-HadGEM2-ES r1i1p1 ICTP-RegCM4-7,MPI-M-MPI-ESM-LR r1i1p1 CLMcom-KIT-CCLM5-0-15,MPI-M-MPI-ESM-LR r1i1p1 GERICS-REMO2015,MPI-M-MPI-ESM-MR r1i1p1 ICTP-RegCM4-7,NCC-NorESM1-M r1i1p1 CLMcom-KIT-CCLM5-0-15,NCC-NorESM1-M r1i1p1 GERICS-REMO2015,NCC-NorESM1-M r1i1p1 ICTP-RegCM4-7
1950-06-01,109.51233,,,65.21287,,,70.22124,,
1951-06-01,99.167,,,45.03714,,,86.63691,,
1952-06-01,90.85191,,,34.683468,,,36.85536,,
1953-06-01,63.979794,,,134.65913,,,137.93983,,
1954-06-01,48.039837,,,34.968605,,,56.989723,,
1955-06-01,159.53261,,,72.42434,,,33.673264,,
1956-06-01,101.59021,,,13.970655,,,37.969723,,
1957-06-01,40.053013,,,22.42043,,,41.181385,,
1958-06-01,164.83365,,,96.89856,,,24.943172,,
1959-06-01,97.89479,,,76.982834,,,43.089043,,
1960-06-01,26.271992,,,12.418827,,,47.521553,,
1961-06-01,90.1642,,,4.9249644,,,87.66136,,
1962-06-01,74.05383,,,56.995968,,,163.5317,,
1963-06-01,67.98144,,,95.23226,,,87.26665,,
1964-06-01,101.32786,,,14.962624,,,81.524216,,
1965-06-01,195.68045,,,153.14398,,,136.73265,,
1966-06-01,126.170906,,,79.28968,,,56.782146,,
1967-06-01,106.391266,,,124.09464,,,57.45572,,
1968-06-01,45.491745,,,54.659668,,,134.90674,,
1969-06-01,63.847008,,,66.99678,,,15.162043,,
1970-06-01,95.75276,20.33429,8.174385,5.7787676,9.81296,36.223312,95.22501,10.816397,45.818596
1971-06-01,45.947433,21.640902,0.41071168,61.633457,15.66244,2.1620433,65.92462,2.83341,0.09467951
1972-06-01,93.019615,7.7050457,2.7112532,132.5828,14.451685,11.647849,11.143211,4.442006,0.1290705
1973-06-01,61.56918,9.420751,14.082835,22.690903,5.4687815,6.5330744,128.16975,30.942612,20.712097
1974-06-01,57.261227,14.410506,5.171519,74.9525,22.166304,0.13646972,45.64345,9.140063,13.01648
1975-06-01,136.01308,15.704127,1.7068259,84.07567,10.596784,1.6683409,146.88814,20.751389,2.6230452
1976-06-01,96.5141,18.980597,8.345775,76.43094,10.326255,0.11402783,25.701283,12.665584,1.931232
1977-06-01,74.54197,24.138315,3.7058995,76.717384,14.703754,1.0266447,59.35083,10.177556,0.94560534
1978-06-01,70.32686,25.081766,3.0298584,12.040168,5.6280627,1.312325,135.80699,10.582459,1.3775036
1979-06-01,115.12361,51.05624,23.510885,53.092224,18.28143,0.18582813,55.295727,9.172601,0.075535625
1980-06-01,118.49259,17.614462,8.822624,67.76381,11.504817,4.932047,94.07371,21.293543,20.057627
1981-06-01,148.87042,22.099518,24.251171,91.041275,57.30115,0.06463722,103.162964,27.719257,55.53449
1982-06-01,47.135815,13.072559,16.883745,93.54927,41.879856,0.13095519,142.61617,12.024943,2.993904
1983-06-01,126.178444,21.923677,46.83828,39.409237,18.949354,0.12005664,34.436676,10.566701,0.7420931
1984-06-01,41.347492,15.46808,19.274792,19.566042,3.0515912,26.702372,92.0849,11.024386,0.30579132
1985-06-01,96.46452,28.452202,1.8468006,47.787205,7.768389,0.77289397,75.53018,8.048428,48.456875
1986-06-01,55.703907,26.360044,13.608567,115.4535,15.5931835,16.724207,95.82958,8.258226,7.097893
1987-06-01,99.7476,6.492383,2.1382694,9.031508,7.4848547,7.0442567,73.676346,20.298622,5.009664
1988-06-01,78.81601,18.285892,24.889467,100.35131,14.265381,30.085604,18.057777,4.025017,82.6711
1989-06-01,159.9928,18.186775,16.278332,125.05937,25.549734,25.03532,27.20146,27.852306,7.420051
1990-06-01,129.87503,16.854078,0.028125005,122.0214,20.691008,1.5083022,124.008995,16.715508,23.382685
