time,MOHC-HadGEM2-ES r1i1p1 CLMcom-KIT-CCLM5-0-15,MOHC-HadGEM2-ES r1i1p1 GERICS-REMO2015,MOHC-HadGEM2-ES r1i1p1 ICTP-RegCM4-7,MPI-M-MPI-ESM-LR r1i1p1 CLMcom-KIT-CCLM5-0-15,MPI-M-MPI-ESM-LR r1i1p1 GERICS-REMO2015,MPI-M-MPI-ESM-MR r1i1p1 ICTP-RegCM4-7,NCC-NorESM1-M r1i1p1 CLMcom-KIT-CCLM5-0-15,NCC-NorESM1-M r1i1p1 GERICS-REMO2015,NCC-NorESM1-M r1i1p1 ICTP-RegCM4-7
1991-06-01,173.77426,44.792557,28.600847,52.837547,22.272902,0.82277226,170.77344,3.9773333,0.24998139
1992-06-01,117.379684,18.226408,33.119644,51.372345,10.819071,1.0169891,76.92769,10.421953,70.594826
1993-06-01,100.03395,18.349184,7.691031,26.986403,8.762879,0.72766566,91.529465,11.276057,7.604735
1994-06-01,68.64155,37.460808,21.280807,22.242508,7.6938314,0.03591055,90.65814,12.547338,10.151094
1995-06-01,111.60621,52.508167,33.143356,44.224876,24.809927,0.24233428,111.402016,20.423246,19.489416
1996-06-01,99.2444,25.67192,137.7524,32.88178,11.330927,5.269168,43.584183,5.716553,0.17092209
1997-06-01,198.49734,52.90092,141.76215,45.078156,30.50057,15.392927,50.070484,5.8654256,0.11880089
1998-06-01,105.92951,41.154545,166.70496,56.976864,25.976,0.8921475,65.13061,13.1248,0.36974728
1999-06-01,123.353355,18.207506,0.47649014,51.193512,20.081059,0.3645618,34.065235,27.455141,5.1260266
2000-06-01,125.80824,37.56607,29.63462,117.92054,18.52743,0.35005093,96.7578,9.854262,5.5598283
2001-06-01,67.48061,19.266582,18.958338,13.723397,14.708499,1.0476296,94.68976,12.414595,0.17418581
2002-06-01,99.967834,38.290073,93.88677,8.709778,8.396193,1.8870065,142.52953,21.966436,7.952048
2003-06-01,32.220432,11.29945,2.208197,120.23251,15.788961,16.089151,159.43558,9.751373,5.994231
2004-06-01,110.674774,20.82587,12.8050585,58.182766,25.684704,3.188116,101.08547,27.557957,1.6029928
2005-06-01,87.2542,37.814793,66.00036,133.89334,13.466885,44.0677,135.68286,15.179418,4.6318474
2006-06-01,138.26198,44.083786,38.059395,51.364212,16.155445,31.784445,36.39329,9.967346,0.059262127
2007-06-01,105.19256,22.094477,94.78258,141.32863,29.156029,1.7354211,162.62836,22.438158,71.1018
2008-06-01,171.1318,46.306683,0.28628212,64.499504,10.339318,0.8915556,142.14087,30.868645,3.4400296
2009-06-01,53.325367,69.443886,0.8333053,11.67002,5.0521617,1.2074252,65.24601,19.50688,15.924637
2010-06-01,56.99511,15.032568,1.0595287,44.753094,17.58188,0.08034234,57.60695,11.505195,9.646982
2011-06-01,81.10004,21.605017,2.5002496,134.21025,28.856106,1.3045033,72.635086,7.0576096,0.02780317
2012-06-01,114.626526,42.437115,96.50181,28.734257,10.781914,1.1291653,131.45819,21.463568,3.6546407
2013-06-01,49.89109,11.722363,15.336703,55.784794,11.241994,1.3503454,124.578606,26.324116,68.968056
2014-06-01,75.516136,43.453617,56.1048,81.88641,42.036022,0.9112117,59.081738,25.676527,0.77764666
2015-06-01,168.01712,28.353785,67.584274,47.32226,22.535646,3.3583574,107.639496,18.374947,3.1011798
2016-06-01,70.10689,16.391378,47.00641,87.58157,33.17226,0.5922316,137.74777,37.62717,0.2079864
2017-06-01,56.889297,24.861422,17.755535,20.931929,24.80219,0.120932765,78.68942,10.1981325,16.14697
2018-06-01,52.18869,17.903605,10.845179,22.615067,14.857579,0.064977676,17.004677,18.04081,31.347889
2019-06-01,118.75357,22.699505,84.65961,51.35075,26.451801,19.263498,92.59755,34.832897,15.281901
2020-06-01,129.20534,21.840837,40.671005,23.691525,13.425732,2.6333966,12.570696,2.8262098,19.740726
2021-06-01,109.28624,22.101019,8.928972,56.0669,23.089933,0.19875754,111.23338,6.560672,11.014241
2022-06-01,130.84958,31.75896,10.16586,24.248701,12.8075,1.7679818,112.565445,12.3689375,11.644726
2023-06-01,64.902374,27.32319,71.669586,123.539246,23.280115,0.13084866,53.245693,17.432814,1.9088745
2024-06-01,114.502556,59.744396,44.74635,108.83118,35.444386,1.6770263,82.87863,11.410918,0.040671937
2025-06-01,182.03171,61.878567,6.529772,99.019554,27.554573,6.3011575,70.97654,10.123465,3.4918935
2026-06-01,92.18663,40.93137,50.481133,116.772545,30.024534,0.7013881,77.97383,2.1262937,0.11792617
2027-06-01,153.90941,36.420483,5.260256,75.04728,18.382849,12.053775,40.14438,39.851265,208.35419
2028-06-01,70.21965,20.470627,11.103586,62.16451,21.027967,5.873628,71.97672,19.53896,90.71582
2029-06-01,119.8468,58.500095,17.277317,128.00485,10.52009,7.618874,79.25439,11.68978,15.3730755
2030-06-01,69.953064,49.383675,28.33636,55.72577,16.779646,6.2238255,104.971375,18.38301,113.675545
2031-06-01,124.25401,24.5472,2.3309631,53.33654,16.685492,9.901162,175.76791,28.450878,0.68968093
2032-06-01,87.15849,35.35143,2.171535,89.26482,32.928196,2.332993,85.49455,34.686283,64.688805
2033-06-01,86.41635,52.31261,53.280556,79.07951,37.21735,9.985249,129.7672,12.371782,0.073121
2034-06-01,62.587204,41.22228,1.7350343,32.114304,14.732277,10.423244,55.278393,10.074637,103.72739
2035-06-01,54.367565,32.02701,4.7576103,80.86787,19.277308,5.621416,76.1291,22.47091,3.1582887
2036-06-01,92.81232,41.3844,8.996959,154.68785,26.688574,0.14596902,17.03886,28.72322,0.44875646
2037-06-01,94.65578,58.218433,0.7352312,130.7008,19.259617,0.34689292,71.86847,13.514704,2.9293177
2038-06-01,81.25448,13.535312,0.790308,114.68255,15.091147,9.700881,24.215565,10.991384,12.124409
2039-06-01,44.762543,42.787292,0.2832151,19.875635,28.640495,0.24901693,65.2626,9.973146,0.0771498
2040-06-01,35.925873,34.698814,31.029198,65.74407,24.198818,0.23569207,32.582954,8.85367,0.7140951
2041-06-01,215.0578,42.613525,32.12059,77.37632,26.31638,41.108902,77.177765,15.005322,2.9487696
2042-06-01,76.10746,32.9104,16.131824,42.151527,9.3915825,0.049538992,35.535507,21.054424,16.685728
2043-06-01,79.48962,46.955845,29.778648,7.707774,31.402903,2.6833575,64.91213,12.310009,0.29417583
2044-06-01,128.92587,25.775555,17.832743,63.25533,23.978012,4.0744386,42.140465,8.436281,0.11590232
2045-06-01,136.61647,24.337439,0.5104099,9.111693,11.133092,4.499907,41.30604,1.7830143,1.8896015
2046-06-01,139.87624,23.084972,6.5833845,24.42585,22.947258,1.4398371,71.02103,10.172064,0.031136386
2047-06-01,164.08662,44.998722,2.0320084,15.175349,33.221233,1.7510496,23.304693,5.9564266,0.032161374
2048-06-01,85.66215,30.619577,0.7346757,33.48154,32.914066,0.6728646,21.013386,14.920931,0.8256612
2049-06-01,122.65903,24.721655,8.235972,28.470434,32.229687,4.930141,49.927013,11.344269,0.39552432
2050-06-01,52.167015,26.297081,4.868951,40.902462,16.144445,0.51726717,96.88098,11.74949,0.76092553
