year,EC-Earth3P-HR r1i1p1f1,EC-Earth3P r1i1p1f1,HadGEM3-GC31-HM r1i1p1f1,HadGEM3-GC31-LM r1i14p1f1,HadGEM3-GC31-MM r1i1p1f1
1950,181.0,195.0,174.0,166.0,164.0
1951,192.0,176.0,155.0,158.0,183.0
1952,186.0,191.0,189.0,158.0,176.0
1953,197.0,191.0,158.0,181.0,117.0
1954,193.0,188.0,188.0,171.0,145.0
1955,182.0,189.0,121.0,118.0,138.0
1956,198.0,188.0,149.0,151.0,169.0
1957,182.0,208.0,162.0,176.0,143.0
1958,183.0,168.0,146.0,150.0,121.0
1959,176.0,188.0,177.0,168.0,169.0
1960,182.0,190.0,178.0,160.0,172.0
1961,189.0,189.0,138.0,126.0,166.0
1962,189.0,196.0,174.0,179.0,182.0
1963,189.0,194.0,152.0,179.0,159.0
1964,192.0,200.0,175.0,116.0,178.0
1965,188.0,186.0,152.0,192.0,138.0
1966,188.0,184.0,139.0,188.0,176.0
1967,193.0,188.0,173.0,168.0,177.0
1968,193.0,194.0,140.0,185.0,192.0
1969,185.0,186.0,120.0,159.0,132.0
1970,162.0,193.0,162.0,149.0,122.0
1971,183.0,193.0,172.0,160.0,152.0
1972,187.0,194.0,142.0,153.0,149.0
1973,180.0,198.0,159.0,163.0,183.0
1974,174.0,192.0,173.0,158.0,165.0
1975,188.0,184.0,161.0,181.0,167.0
1976,197.0,184.0,160.0,180.0,168.0
1977,179.0,195.0,155.0,154.0,164.0
1978,201.0,210.0,144.0,148.0,136.0
1979,183.0,192.0,155.0,131.0,159.0
1980,190.0,186.0,170.0,148.0,169.0
1981,186.0,183.0,162.0,154.0,136.0
1982,189.0,191.0,175.0,150.0,183.0
1983,196.0,185.0,132.0,146.0,143.0
1984,194.0,196.0,156.0,183.0,180.0
1985,184.0,175.0,177.0,138.0,156.0
1986,187.0,197.0,182.0,174.0,180.0
1987,194.0,193.0,175.0,188.0,174.0
1988,195.0,202.0,174.0,165.0,145.0
1989,186.0,179.0,156.0,164.0,129.0
1990,182.0,184.0,135.0,152.0,179.0
1991,183.0,189.0,169.0,186.0,177.0
1992,202.0,189.0,137.0,145.0,124.0
1993,175.0,200.0,144.0,143.0,132.0
1994,188.0,184.0,147.0,138.0,145.0
1995,183.0,177.0,107.0,177.0,172.0
1996,197.0,189.0,190.0,183.0,128.0
1997,180.0,191.0,141.0,144.0,176.0
1998,185.0,180.0,157.0,125.0,135.0
1999,191.0,199.0,164.0,162.0,182.0
2000,192.0,179.0,156.0,125.0,138.0
2001,181.0,200.0,146.0,167.0,186.0
2002,179.0,183.0,181.0,171.0,140.0
2003,183.0,174.0,142.0,155.0,169.0
2004,188.0,172.0,175.0,148.0,180.0
2005,185.0,180.0,162.0,162.0,144.0
2006,181.0,189.0,147.0,162.0,146.0
2007,175.0,188.0,137.0,172.0,176.0
2008,191.0,181.0,182.0,146.0,172.0
2009,188.0,185.0,144.0,162.0,155.0
2010,187.0,187.0,174.0,160.0,161.0
2011,181.0,192.0,167.0,174.0,170.0
2012,185.0,192.0,170.0,193.0,143.0
2013,178.0,174.0,176.0,177.0,136.0
2014,200.0,194.0,179.0,169.0,162.0
2015,183.0,192.0,128.0,169.0,140.0
2016,186.0,184.0,164.0,143.0,136.0
2017,181.0,179.0,159.0,189.0,174.0
2018,191.0,182.0,171.0,168.0,166.0
2019,183.0,194.0,163.0,106.0,109.0
2020,182.0,192.0,143.0,149.0,136.0
2021,180.0,188.0,170.0,173.0,154.0
2022,193.0,185.0,159.0,177.0,179.0
2023,185.0,188.0,190.0,181.0,175.0
2024,197.0,185.0,171.0,196.0,172.0
2025,180.0,187.0,174.0,165.0,133.0
2026,159.0,181.0,160.0,177.0,146.0
2027,180.0,183.0,145.0,179.0,173.0
2028,179.0,188.0,159.0,153.0,146.0
2029,177.0,184.0,132.0,142.0,129.0
2030,187.0,189.0,141.0,134.0,159.0
2031,185.0,194.0,156.0,145.0,156.0
2032,186.0,194.0,148.0,169.0,170.0
2033,195.0,181.0,156.0,128.0,172.0
2034,189.0,190.0,136.0,154.0,137.0
2035,184.0,197.0,157.0,162.0,162.0
2036,175.0,179.0,167.0,174.0,149.0
2037,187.0,181.0,168.0,157.0,170.0
2038,193.0,180.0,149.0,187.0,169.0
2039,150.0,185.0,144.0,167.0,178.0
2040,164.0,188.0,155.0,138.0,170.0
2041,182.0,171.0,154.0,159.0,159.0
2042,184.0,188.0,162.0,166.0,155.0
2043,181.0,181.0,133.0,164.0,179.0
2044,189.0,190.0,162.0,179.0,135.0
2045,152.0,158.0,171.0,119.0,153.0
2046,176.0,181.0,180.0,156.0,157.0
2047,178.0,179.0,173.0,183.0,138.0
2048,182.0,185.0,168.0,172.0,172.0
2049,178.0,183.0,144.0,178.0,133.0
2050,,,160.0,183.0,191.0
