,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009 attr-now,AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,tas Amon GFDL-ESM2G rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,56,2021,-1.2,3,17.606,14.594,20.137,,,,8.271,-7.535,21.378,84.028,3.0000,1.6942,6.2946,1.2,0.60287,0.23165,1.5426,9.925,-9.049,25.653
AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,tas Amon CNRM-CM5 rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,22.622,18.781,25.413,,,,-8.290,-25.014,9.966,98.946,3.0000,1.8547,7.4618,1.2,1.7360,0.47732,5.9815,-9.948,-30.027,11.956
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3 attr-now,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,48,2021,-1.2,3,17.527,13.215,20.677,,,,-0.356,-10.706,12.662,81.134,3.0000,1.6538,9.6972,1.2,1.0272,0.31622,2.2540,-0.427,-12.849,15.193
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,21.137,17.984,23.376,,,,-0.973,-11.878,10.778,83.692,3.0000,1.7647,9.1198,1.2,1.0633,0.39334,1.9202,-1.168,-14.254,12.872
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 attr-future,AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,20.904,18.253,22.941,,,,-8.709,-14.418,-3.270,75.066,3.0000,2.3102,4.2887,-0.8,0.72276,0.61740,0.86480,6.968,2.617,11.535
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 validation,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,21.129,16.917,24.434,,,,-4.595,-32.465,19.641,90.793,3.0000,1.6477,7.2917,1.2,1.3629,0.27896,15.798,-5.513,-38.959,23.515
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 validation,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,21.663,16.685,25.000,,,,-12.987,-28.791,3.748,78.435,3.0000,1.6957,10.377,1.2,2.6656,0.72132,11.227,-15.584,-34.555,4.481
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 attr-future,AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,16.961,14.631,18.877,,,,3.369,-0.627,7.557,87.912,3.0000,2.3614,4.0886,-0.8,1.2003,0.97160,1.6638,-2.696,-6.041,0.502
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,22.047,18.557,24.415,,,,-6.356,-21.595,8.302,89.553,3.0000,1.8557,6.4015,1.2,1.5244,0.53647,4.8358,-7.627,-25.922,9.941
AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5 validation,AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,tas Amon EC-EARTH rcp85 r3i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,12.800,9.549,15.556,,,,-9.381,-25.177,2.719,76.350,3.0000,1.7394,7.6311,1.2,3.5063,0.63451,27.732,-11.257,-30.214,3.251
AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5 attr-future,AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,tas Amon EC-EARTH rcp85 r3i1p1,True,future,gauss,shift,True,True,-2050,100,2021,0.8,3,13.317,11.111,15.171,,,,-5.968,-9.858,-1.986,75.962,3.0000,2.4217,4.0462,-0.8,0.70739,0.59767,0.86852,4.774,1.594,7.887
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 attr-future,AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,future,gauss,shift,True,True,-2050,101,2021,0.8,3,20.973,18.246,23.065,,,,-8.743,-14.873,-3.116,88.203,3.0000,2.4451,3.8973,-0.8,0.72264,0.59438,0.87760,6.994,2.504,11.900
AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17 validation,AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,tas Amon CNRM-CM5 rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,22.898,18.090,26.092,,,,-16.124,-41.118,9.699,96.229,3.0000,1.7946,8.8683,1.2,3.2995,0.44817,41.833,-19.349,-49.346,11.579
