,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,shift,False,True,-2022,73,2021,-1.2,3,18.505,15.341,20.793,,,,6.633,-2.762,16.338,191.96,3.0000,1.8869,6.2030,1.2,1.7124,0.78879,3.6887,7.960,-3.314,19.605
AFR-44_rs_onset_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 attr-now,AFR-44_rs_onset_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,present,gauss,shift,False,True,-2022,73,2021,-1.2,3,12.072,9.581,14.323,,,,8.119,1.887,14.726,188.75,3.0000,2.0627,5.0725,1.2,3.0890,1.3135,8.8371,9.742,2.264,17.672
AFR-44_rs_onset_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 attr-future,AFR-44_rs_onset_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,future,gauss,shift,False,True,-2050,101,2021,0.8,3,12.878,10.722,14.631,,,,5.614,1.474,9.387,186.85,3.0000,2.3928,3.9898,-0.8,0.71326,0.61044,0.89749,-4.492,-7.509,-1.179
AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17 attr-future,AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,future,gauss,shift,False,True,-2050,101,2021,0.8,3,19.974,16.920,22.160,,,,4.939,-0.789,11.123,190.38,3.0000,2.2459,4.4052,-0.8,0.81715,0.69272,1.0410,-3.952,-8.899,0.631
AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,tas Amon EC-EARTH rcp85 r12i1p1,True,present,gauss,shift,False,True,-2022,73,2021,-1.2,3,22.993,19.899,25.399,,,,1.456,-13.337,16.074,176.55,3.0000,1.9027,5.7524,1.2,1.0887,0.42920,2.6215,1.748,-16.005,19.288
AFR-44_rs_onset_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T attr-future,AFR-44_rs_onset_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,future,gauss,shift,False,True,-2050,101,2021,0.8,3,28.582,23.178,32.216,,,,-7.351,-16.272,1.785,190.93,3.0000,2.3617,3.9128,-0.8,1.2712,0.94804,1.9094,5.881,-1.428,13.018
AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009 validation,AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,tas Amon EC-EARTH rcp85 r12i1p1,True,validation,gauss,shift,False,True,1981-2022,42,2021,-1.2,3,18.935,13.689,22.303,,,,-7.962,-28.776,9.287,179.74,3.0000,1.9392,6.1110,1.2,0.62960,0.22013,2.0235,-9.554,-34.531,11.144
AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17 attr-now,AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,False,True,-2022,73,2021,-1.2,3,15.920,12.524,18.581,,,,-1.224,-10.486,7.089,168.28,3.0000,1.7249,9.4220,1.2,0.90700,0.33013,1.6056,-1.469,-12.584,8.507
AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 attr-now,AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,False,True,-2022,73,2021,-1.2,3,12.483,10.540,14.262,,,,1.681,-3.828,7.259,179.46,3.0000,1.8961,5.7785,1.2,1.2041,0.62375,2.1028,2.017,-4.594,8.710
AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009 attr-now,AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,shift,False,True,-2022,73,2021,-1.2,3,14.709,11.451,17.326,,,,-0.767,-9.909,8.006,187.66,3.0000,1.8231,6.2405,1.2,0.93533,0.35714,1.9818,-0.920,-11.891,9.607
