,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-future,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,40.681,34.874,45.597,-0.407,-0.452,-0.352,2.274,-7.697,11.531,47.878,10.000,7.2624,15.572,-0.8,1.0387,0.86497,1.2182,-1.828,-8.845,6.564
AFR-22_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7 attr-future,p_AFR-22_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,81,2021,0.8,10,8.970,5.262,11.511,-1.607,-1.835,-1.155,-1.254,-7.058,1.774,-5.9130,10.000,7.5433,50.047,-0.8,1.2459,0.81029,100.03,18.466,-21.437,143.922
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7 attr-future,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,81,2021,0.8,10,24.666,17.397,29.755,-1.201,-1.354,-1.015,-13.138,-23.411,-0.288,-11.070,10.000,8.2442,13.898,-0.8,1.5309,1.0087,2.5512,51.251,1.152,92.987
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-future,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon NorESM1-M rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,38.448,33.596,42.659,-0.518,-0.579,-0.446,-11.844,-26.259,2.681,25.012,10.000,7.3755,15.621,-0.8,0.86552,0.68024,1.0311,12.906,-2.688,30.496
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7 validation,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,35.998,20.473,45.007,-1.105,-1.302,-0.825,-6.063,-37.139,24.969,-13.562,10.000,7.4105,21.676,1.2,0.89074,0.43911,2.0721,-17.780,-65.774,143.709
AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-now,p_AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,36.185,30.100,40.889,-0.635,-0.720,-0.535,-5.212,-22.246,15.990,10.636,10.000,7.1819,16.585,1.2,1.0517,0.85781,1.2901,-9.703,-36.536,36.869
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-now,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,39.171,32.279,44.916,-0.402,-0.458,-0.335,-0.127,-18.579,17.623,47.280,10.000,5.6244,20.003,1.2,1.0033,0.61979,1.6802,-0.156,-20.193,25.370
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15 validation,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon NorESM1-M rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,43.798,35.276,49.314,-0.463,-0.555,-0.354,11.003,-25.129,50.787,38.484,10.000,5.5791,29.178,1.2,0.78970,0.27094,1.6402,15.829,-28.864,101.959
AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7 validation,p_AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7,tas Amon NorESM1-M rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2022,42,2021,-1.2,10,15.937,7.280,21.998,-1.386,-1.658,-1.050,-11.080,-30.543,13.947,-8.9280,10.000,5.9200,60.334,1.2,0.59279,0.10919,4.5033,-57.517,-89.570,284.748
AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015 attr-now,p_AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,15.889,12.497,18.126,-0.499,-0.557,-0.405,5.589,-3.771,17.774,11.466,10.000,6.0582,25.077,1.2,0.70280,0.33390,1.3202,29.303,-15.979,118.919
