year,EC-Earth3P-HR r1i1p1f1,EC-Earth3P r1i1p1f1,HadGEM3-GC31-HM r1i1p1f1,HadGEM3-GC31-LM r1i14p1f1,HadGEM3-GC31-MM r1i1p1f1
1950,62.0,48.0,73.0,95.0,92.0
1951,72.0,83.0,98.0,105.0,79.0
1952,64.0,65.0,65.0,90.0,87.0
1953,52.0,61.0,93.0,74.0,123.0
1954,56.0,63.0,64.0,84.0,118.0
1955,70.0,73.0,128.0,60.0,121.0
1956,56.0,74.0,110.0,96.0,110.0
1957,77.0,50.0,90.0,85.0,101.0
1958,81.0,86.0,117.0,104.0,142.0
1959,73.0,68.0,86.0,86.0,101.0
1960,63.0,81.0,86.0,100.0,86.0
1961,65.0,78.0,115.0,136.0,98.0
1962,66.0,55.0,80.0,76.0,69.0
1963,58.0,64.0,88.0,84.0,101.0
1964,66.0,54.0,73.0,147.0,90.0
1965,65.0,64.0,99.0,56.0,111.0
1966,75.0,58.0,103.0,50.0,79.0
1967,72.0,75.0,88.0,89.0,80.0
1968,50.0,54.0,115.0,64.0,50.0
1969,76.0,74.0,141.0,94.0,114.0
1970,87.0,54.0,89.0,115.0,124.0
1971,64.0,52.0,95.0,101.0,98.0
1972,72.0,89.0,118.0,99.0,94.0
1973,73.0,63.0,105.0,85.0,74.0
1974,76.0,61.0,86.0,89.0,85.0
1975,75.0,66.0,95.0,67.0,99.0
1976,65.0,77.0,86.0,73.0,93.0
1977,74.0,47.0,102.0,105.0,93.0
1978,53.0,59.0,105.0,108.0,128.0
1979,74.0,68.0,94.0,60.0,99.0
1980,60.0,64.0,94.0,90.0,90.0
1981,57.0,71.0,85.0,103.0,122.0
1982,68.0,58.0,70.0,97.0,73.0
1983,72.0,80.0,122.0,103.0,95.0
1984,58.0,50.0,90.0,67.0,71.0
1985,68.0,75.0,77.0,115.0,105.0
1986,74.0,65.0,78.0,78.0,81.0
1987,59.0,57.0,70.0,62.0,86.0
1988,63.0,51.0,89.0,84.0,117.0
1989,61.0,67.0,98.0,88.0,117.0
1990,69.0,63.0,123.0,103.0,67.0
1991,76.0,74.0,87.0,60.0,81.0
1992,46.0,60.0,120.0,100.0,126.0
1993,75.0,50.0,119.0,103.0,115.0
1994,60.0,56.0,115.0,102.0,110.0
1995,61.0,64.0,148.0,79.0,80.0
1996,59.0,66.0,66.0,81.0,125.0
1997,71.0,59.0,120.0,108.0,76.0
1998,74.0,74.0,94.0,131.0,110.0
1999,66.0,63.0,96.0,109.0,77.0
2000,80.0,92.0,108.0,145.0,117.0
2001,91.0,38.0,116.0,98.0,80.0
2002,73.0,65.0,73.0,92.0,105.0
2003,70.0,74.0,111.0,95.0,86.0
2004,68.0,88.0,75.0,105.0,82.0
2005,65.0,63.0,97.0,99.0,118.0
2006,69.0,58.0,111.0,92.0,115.0
2007,85.0,76.0,120.0,80.0,78.0
2008,53.0,73.0,73.0,108.0,89.0
2009,74.0,59.0,118.0,106.0,104.0
2010,71.0,71.0,82.0,91.0,89.0
2011,92.0,71.0,100.0,91.0,79.0
2012,84.0,58.0,87.0,59.0,112.0
2013,77.0,79.0,86.0,75.0,134.0
2014,47.0,49.0,80.0,93.0,92.0
2015,79.0,71.0,134.0,61.0,106.0
2016,61.0,62.0,116.0,108.0,119.0
2017,66.0,72.0,90.0,65.0,76.0
2018,77.0,79.0,98.0,70.0,123.0
2019,65.0,50.0,98.0,150.0,133.0
2020,65.0,54.0,119.0,105.0,107.0
2021,73.0,67.0,103.0,88.0,107.0
2022,80.0,60.0,107.0,84.0,78.0
2023,70.0,90.0,85.0,69.0,114.0
2024,63.0,68.0,88.0,60.0,93.0
2025,79.0,74.0,85.0,85.0,122.0
2026,96.0,91.0,108.0,76.0,123.0
2027,69.0,64.0,112.0,71.0,83.0
2028,70.0,78.0,93.0,102.0,107.0
2029,88.0,69.0,127.0,103.0,129.0
2030,79.0,74.0,112.0,122.0,115.0
2031,61.0,66.0,98.0,106.0,99.0
2032,78.0,65.0,112.0,79.0,98.0
2033,68.0,63.0,85.0,125.0,68.0
2034,72.0,64.0,123.0,102.0,117.0
2035,82.0,61.0,106.0,102.0,103.0
2036,90.0,77.0,110.0,93.0,124.0
2037,73.0,85.0,98.0,97.0,99.0
2038,57.0,87.0,118.0,66.0,84.0
2039,99.0,76.0,104.0,95.0,78.0
2040,86.0,72.0,105.0,120.0,91.0
2041,65.0,87.0,97.0,102.0,102.0
2042,78.0,70.0,95.0,91.0,97.0
2043,73.0,71.0,128.0,85.0,75.0
2044,64.0,75.0,97.0,78.0,121.0
2045,96.0,90.0,87.0,140.0,105.0
2046,73.0,75.0,79.0,99.0,108.0
2047,74.0,68.0,90.0,74.0,142.0
2048,84.0,73.0,104.0,94.0,88.0
2049,78.0,71.0,122.0,82.0,128.0
2050,,,96.0,65.0,63.0
