,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7 attr-future,AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7,tas Amon HadGEM2-ES rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,81,2021,0.8,3,16.838,13.506,19.415,,,,1.548,-2.238,5.234,59.921,3.0000,2.5282,3.8850,-0.8,1.0856,0.89721,1.4078,-1.238,-4.187,1.790
AFR-22_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7 validation,AFR-22_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,13.640,10.945,15.442,,,,-7.184,-19.587,8.237,51.917,3.0000,1.7006,8.8512,1.2,2.3156,0.40057,18.837,-8.621,-23.505,9.875
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7 attr-now,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7,tas Amon NorESM1-M rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,53,2021,-1.2,3,11.603,9.374,13.343,,,,9.472,-0.753,19.832,46.460,3.0000,1.7489,7.0434,1.2,0.47050,0.16761,1.0538,11.367,-0.905,23.782
AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15 attr-now,AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon HadGEM2-ES rcp85 r1i1p1,True,present,gauss,shift,True,True,-2022,73,2021,-1.2,3,20.635,17.027,23.422,,,,7.819,-2.340,17.927,96.644,3.0000,1.8041,6.4299,1.2,0.65416,0.31213,1.1126,9.382,-2.809,21.464
AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15 validation,AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,21.469,17.169,24.685,,,,-0.881,-22.245,21.130,74.745,3.0000,1.6624,8.8962,1.2,1.0561,0.23235,5.2166,-1.058,-26.706,25.231
AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15 validation,AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,20.899,15.522,25.131,,,,4.638,-11.970,21.113,95.627,3.0000,1.7130,8.0075,1.2,0.76683,0.23702,2.0488,5.565,-14.364,25.260
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7 attr-future,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7,tas Amon NorESM1-M rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,81,2021,0.8,3,12.285,10.240,14.017,,,,3.635,-0.441,7.923,43.041,3.0000,2.4452,3.9256,-0.8,1.3214,0.96982,2.0488,-2.908,-6.336,0.354
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015 validation,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015,tas Amon NorESM1-M rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,22.927,18.280,26.247,,,,15.057,-11.606,45.281,79.055,3.0000,1.8363,7.5783,1.2,0.52117,0.15653,1.9263,18.068,-13.935,54.248
AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015 validation,AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015,tas Amon MPI-ESM-LR rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,15.272,10.767,18.352,,,,5.764,-11.022,21.765,83.203,3.0000,1.6242,11.695,1.2,0.65508,0.12685,2.2940,6.917,-13.228,26.101
AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015 validation,AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,shift,True,True,1981-2022,42,2021,-1.2,3,14.515,10.069,17.575,,,,2.427,-7.228,13.272,89.088,3.0000,1.7531,8.0336,1.2,0.81494,0.23815,1.8040,2.913,-8.675,15.901
AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015 attr-future,AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015,tas Amon NorESM1-M rcp85 r1i1p1,True,future,gauss,shift,True,True,-2050,81,2021,0.8,3,24.023,20.803,26.686,,,,2.775,-6.872,13.005,67.800,3.0000,2.4289,4.1274,-0.8,1.1095,0.78068,1.7666,-2.220,-10.400,5.498
