year,MOHC-HadGEM2-ES r1i1p1 CLMcom-KIT-CCLM5-0-15,MOHC-HadGEM2-ES r1i1p1 GERICS-REMO2015,MOHC-HadGEM2-ES r1i1p1 ICTP-RegCM4-7,MPI-M-MPI-ESM-LR r1i1p1 CLMcom-KIT-CCLM5-0-15,MPI-M-MPI-ESM-LR r1i1p1 GERICS-REMO2015,MPI-M-MPI-ESM-MR r1i1p1 ICTP-RegCM4-7,NCC-NorESM1-M r1i1p1 CLMcom-KIT-CCLM5-0-15,NCC-NorESM1-M r1i1p1 GERICS-REMO2015,NCC-NorESM1-M r1i1p1 ICTP-RegCM4-7
1986,72.0,85.0,50.0,113.0,88.0,60.0,103.0,73.0,69.0
1987,81.0,87.0,84.0,52.0,85.0,75.0,76.0,89.0,63.0
1988,105.0,83.0,70.0,65.0,86.0,61.0,84.0,84.0,43.0
1989,101.0,71.0,41.0,96.0,78.0,58.0,44.0,108.0,50.0
1990,82.0,79.0,60.0,66.0,77.0,63.0,76.0,89.0,29.0
1991,132.0,93.0,64.0,114.0,109.0,78.0,96.0,67.0,51.0
1992,70.0,89.0,53.0,112.0,78.0,74.0,89.0,81.0,51.0
1993,100.0,76.0,51.0,60.0,98.0,56.0,108.0,61.0,49.0
1994,114.0,92.0,120.0,66.0,66.0,63.0,61.0,75.0,54.0
1995,83.0,114.0,107.0,95.0,94.0,46.0,84.0,77.0,39.0
1996,112.0,87.0,53.0,99.0,81.0,58.0,75.0,31.0,37.0
1997,118.0,102.0,59.0,93.0,93.0,60.0,84.0,45.0,58.0
1998,103.0,78.0,48.0,97.0,83.0,74.0,93.0,59.0,49.0
1999,133.0,86.0,80.0,100.0,101.0,41.0,56.0,114.0,28.0
2000,74.0,132.0,107.0,100.0,88.0,63.0,90.0,109.0,32.0
2001,120.0,80.0,109.0,68.0,96.0,41.0,95.0,86.0,29.0
2002,114.0,91.0,68.0,88.0,77.0,80.0,83.0,127.0,52.0
2003,98.0,80.0,62.0,97.0,70.0,79.0,59.0,54.0,46.0
2004,108.0,84.0,69.0,86.0,78.0,50.0,89.0,95.0,60.0
2005,104.0,95.0,59.0,102.0,116.0,48.0,83.0,66.0,40.0
2006,121.0,105.0,98.0,108.0,80.0,40.0,86.0,43.0,53.0
2007,77.0,100.0,59.0,81.0,83.0,46.0,55.0,116.0,50.0
2008,97.0,95.0,65.0,73.0,65.0,69.0,113.0,70.0,63.0
2009,99.0,99.0,78.0,57.0,89.0,68.0,96.0,83.0,40.0
2010,112.0,107.0,96.0,114.0,94.0,56.0,46.0,93.0,34.0
2011,109.0,81.0,91.0,71.0,108.0,73.0,86.0,87.0,67.0
2012,138.0,102.0,67.0,83.0,83.0,82.0,100.0,83.0,38.0
2013,104.0,96.0,80.0,111.0,89.0,73.0,93.0,98.0,60.0
2014,91.0,93.0,72.0,74.0,89.0,61.0,90.0,109.0,46.0
2015,120.0,88.0,65.0,53.0,64.0,72.0,90.0,116.0,41.0
2016,88.0,81.0,65.0,133.0,111.0,68.0,37.0,74.0,32.0
