,dataset,covariate,covariate_matched,attr_type,distribution,fit_type,lower_tail,include_event,fitted_years,N,event_year,vs_gmst,return_time,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,alpha_est,alpha_lower,alpha_upper,event_magnitude,rp_est,rp_lower,rp_upper,gmst_now,pr_est,pr_lower,pr_upper,DI_est,DI_lower,DI_upper
AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009 validation,p_AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,tas Amon MIROC5 rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,12.907,8.687,15.628,-0.603,-0.723,-0.420,6.462,-3.321,18.218,4.8461,10.000,6.9074,27.173,1.2,0.70142,0.32374,1.3084,56.649,-21.571,242.866
AFR-44_june_total_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17 attr-now,p_AFR-44_june_total_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,tas Amon CNRM-CM5 rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,38.549,32.098,43.247,-0.305,-0.344,-0.252,-12.408,-38.067,11.536,77.021,10.000,5.8969,22.359,1.2,1.4721,0.70514,3.5683,-10.503,-28.476,11.017
AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009 validation,p_AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,tas Amon HadGEM2-ES rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,20.585,15.516,23.359,-0.500,-0.578,-0.385,10.600,-4.550,23.354,14.772,10.000,5.6318,23.037,1.2,0.55708,0.25353,1.3899,50.765,-16.527,143.893
AFR-44_june_total_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T attr-future,p_AFR-44_june_total_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,101,2021,0.8,10,34.167,26.354,39.713,-0.658,-0.728,-0.541,-5.283,-17.276,4.931,8.1610,10.000,8.0661,16.004,-0.8,0.96666,0.84505,1.0276,8.126,-6.892,30.308
AFR-44_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3 validation,p_AFR-44_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,0.000,0.000,0.000,-0.640,-0.767,-0.449,-0.000,-0.001,0.000,0.44600E-04),10.000,7.1379,38.866,1.2,1.3823,0.86700,1.8959,-62.767,-77.166,40.890
AFR-44_june_total_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T attr-now,p_AFR-44_june_total_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,27.068,19.838,32.698,-0.628,-0.713,-0.506,-17.198,-42.882,1.414,8.4257,10.000,7.4976,16.361,1.2,1.1917,0.98639,1.8015,-31.373,-61.015,3.316
AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009 attr-future,p_AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,tas Amon GFDL-ESM2G rcp85 r1i1p1,True,future,gauss,scale,True,True,-2050,56,2021,0.8,10,8.306,5.716,10.493,-0.567,-0.671,-0.414,-0.099,-10.612,8.800,4.0022,10.000,5.6349,31.455,-0.8,0.99544,0.48217,1.3867,0.540,-37.567,72.905
AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4 attr-now,p_AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,tas Amon CanESM2 rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,73,2021,-1.2,10,15.328,12.674,17.374,-0.168,-0.192,-0.138,-4.507,-10.613,2.151,71.793,10.000,5.3236,24.678,1.2,1.6123,0.78878,3.2330,-5.475,-12.223,2.808
AFR-44_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3 attr-now,p_AFR-44_june_total_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,tas Amon MPI-ESM-MR rcp85 r1i1p1,True,present,gauss,scale,True,True,-2022,53,2021,-1.2,10,0.000,0.000,0.000,-0.617,-0.657,-0.436,-0.000,-0.000,-0.000,0.75641E-04),10.000,8.2454,28.047,1.2,1.1835,1.0306,1.4694,-27.721,-49.132,-4.531
AFR-44_june_total_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T validation,p_AFR-44_june_total_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,tas Amon EC-EARTH rcp85 r1i1p1,True,validation,gauss,scale,True,True,1981-2021,41,2021,-1.2,10,25.946,17.392,31.489,-0.525,-0.611,-0.374,-4.474,-35.315,17.931,16.189,10.000,6.5834,20.606,1.2,1.1161,0.61974,4.0494,-9.885,-59.487,53.367
