dataset,distribution,fit_type,lower_tail,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,return_time,event_magnitude,gmst_now,pr_est_x,pr_lower_x,pr_upper_x,DI_est_x,DI_lower_x,DI_upper_x,gmst,pr_est_y,pr_lower_y,pr_upper_y,DI_est_y,DI_lower_y,DI_upper_y
AFR-44_rs_onset_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,gauss,shift,False,14.021,9.41,17.776,,,,3,117.45,1.2,0.75862,0.38572,1.2459,-4.212,-11.384,3.957,2,0.96801,0.82924,1.1563,-0.451,-2.724,1.915
AFR-44_rs_onset_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,gauss,shift,False,18.393,13.787,22.316,,,,3,170.44,1.2,1.2547,0.46495,4.1035,3.87,-12.713,20.559,2,0.74385,0.59636,0.93464,-6.122,-11.751,-1.154
AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,gauss,shift,False,22.292,17.367,25.322,,,,3,176.55,1.2,1.0887,0.4292,2.6215,1.748,-16.005,19.288,2,0.71587,0.58955,0.86613,-7.803,-13.203,-2.902
AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,gauss,shift,False,27.017,7.454,37.014,,,,3,217.17,1.2,4.6158,0.74136,25.418,29.747,-4.733,65.443,2,0.55492,0.48717,1.1867,-19.831,-42.771,2.536
AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,gauss,shift,False,18.935,13.689,22.303,,,,3,182.59,1.2,1.0354,0.42006,2.2723,0.614,-14.599,13.794,2,0.85626,0.70486,1.0668,-2.741,-6.699,1.066
AFR-44_rs_onset_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,gauss,shift,False,25.75,17.146,31.641,,,,3,193.98,1.2,0.90015,0.33865,2.0127,-2.659,-24.65,18.012,2,1.2712,0.94804,1.9094,5.881,-1.428,13.018
AFR-44_rs_onset_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,gauss,shift,False,12.532,9.234,14.634,,,,3,187.46,1.2,0.94408,0.36285,1.9345,-0.602,-8.826,7.141,2,0.77837,0.64331,1.0135,-2.969,-6.207,0.124
AFR-44_rs_onset_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,gauss,shift,False,10.626,8.627,12.145,,,,3,183.61,1.2,1.5705,0.7381,3.8423,4.579,-3.099,12.589,2,0.85445,0.69431,1.1148,-1.927,-5.079,1.107
AFR-44_rs_onset_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,gauss,shift,False,9.622,7.03,11.746,,,,3,188.75,1.2,3.089,1.3135,8.8371,9.742,2.264,17.672,2,0.71326,0.61044,0.89749,-4.492,-7.509,-1.179
AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,gauss,shift,False,14.677,10.452,17.198,,,,3,168.28,1.2,0.907,0.33013,1.6056,-1.469,-12.584,8.507,2,1.0449,0.88015,1.3369,0.592,-1.846,3.155
AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,gauss,shift,False,12.11,9.219,14.293,,,,3,179.46,1.2,1.2041,0.62375,2.1028,2.017,-4.594,8.71,2,1.0785,0.90204,1.3438,0.828,-1.3,2.776
AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3,gauss,shift,False,15.486,11.644,18.049,,,,3,174.43,1.2,0.98274,0.34747,2.0918,-0.238,-12.363,9.704,2,0.92823,0.74991,1.2118,-1.055,-4.32,2.287
AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,gauss,shift,False,23.932,18.186,28.4,,,,3,181.62,1.2,0.93438,0.44501,1.506,-1.457,-14.671,9.403,2,1.1396,0.9554,1.4535,2.52,-0.979,6.154
AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,gauss,shift,False,19.277,14.781,22.636,,,,3,191.96,1.2,1.7124,0.78879,3.6887,7.96,-3.314,19.605,2,0.81715,0.69272,1.041,-3.952,-8.899,0.631
AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,gauss,shift,False,13.093,9.867,15.527,,,,3,187.66,1.2,0.93533,0.35714,1.9818,-0.92,-11.891,9.607,2,1.2315,0.9549,1.7742,2.49,-0.629,5.61
AFR-44_rs_onset_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,gauss,shift,False,26.396,19.889,30.639,,,,3,191.38,1.2,1.0794,0.39722,3.1358,1.78,-21.587,25.199,2,1.0421,0.77956,1.5361,0.968,-6.744,8.635
AFR-44_rs_onset_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,gauss,shift,False,17.614,12.341,21.053,,,,3,186.87,1.2,0.92517,0.20415,3.4317,-1.113,-18.218,16.991,2,1.0555,0.70326,5.3981,0.742,-10.829,11.946
