dataset,distribution,fit_type,lower_tail,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,return_time,event_magnitude,gmst_now,pr_est_x,pr_lower_x,pr_upper_x,DI_est_x,DI_lower_x,DI_upper_x,gmst,pr_est_y,pr_lower_y,pr_upper_y,DI_est_y,DI_lower_y,DI_upper_y
AFR-44_rs_duration_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4,gauss,shift,True,15.165,10.801,18.475,,,,3,139.89,1.2,0.66778,0.28986,1.0715,6.914,-1.369,15.248,2,1.0961,0.93365,1.4194,-1.325,-3.982,1.095
AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17,gauss,shift,True,22.898,18.09,26.092,,,,3,98.946,1.2,1.736,0.47732,5.9815,-9.948,-30.027,11.956,2,0.71548,0.57979,0.90148,7.708,1.93,13.296
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17,gauss,shift,True,21.129,16.917,24.434,,,,3,89.553,1.2,1.5244,0.53647,4.8358,-7.627,-25.922,9.941,2,0.72264,0.59438,0.8776,6.994,2.504,11.9
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T,gauss,shift,True,14.059,7.555,19.631,,,,3,58.959,1.2,1.7571,0.21762,9.8938,-6.922,-25.367,16.144,2,0.74482,0.58487,4.1335,4.615,-10.445,16.555
AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009,gauss,shift,True,21.123,16.65,24.49,,,,3,81.922,1.2,1.0238,0.43647,2.3166,-0.438,-14.891,14.377,2,0.88505,0.72633,1.1093,2.294,-1.632,6.711
AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T,gauss,shift,True,16.84,13.084,19.517,,,,3,62.805,1.2,1.0657,0.50505,1.9749,-0.957,-11.087,9.069,2,0.86676,0.71529,1.1708,2.337,-2.104,6.601
AFR-44_rs_duration_ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5,gauss,shift,True,12.8,9.549,15.556,,,,3,78.17,1.2,1.4924,0.57714,3.4136,-4.236,-13.542,4.804,2,0.70739,0.59767,0.86852,4.774,1.594,7.887
AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009,gauss,shift,True,15.147,11.851,17.626,,,,3,77.284,1.2,1.0592,0.53783,1.9422,-0.853,-9.983,8.039,2,1.0014,0.82493,1.2775,-0.02,-2.88,2.963
AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009,gauss,shift,True,13.121,9.629,15.743,,,,3,88.589,1.2,1.5206,0.59119,4.0121,-4.767,-14.657,5.474,2,0.80741,0.67309,1.0835,3.191,-0.868,7.417
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17,gauss,shift,True,21.663,16.685,25.0,,,,3,83.692,1.2,1.0633,0.39334,1.9202,-1.168,-14.254,12.872,2,0.98318,0.83041,1.2401,0.316,-3.387,4.027
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009,gauss,shift,True,16.561,13.27,18.973,,,,3,87.436,1.2,0.7898,0.35579,1.284,3.922,-4.646,13.663,2,1.2003,0.9716,1.6638,-2.696,-6.041,0.502
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3,gauss,shift,True,18.267,13.736,21.593,,,,3,81.134,1.2,1.0272,0.31622,2.254,-0.427,-12.849,15.193,2,0.96981,0.7897,1.2774,0.515,-3.299,4.568
AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T,gauss,shift,True,22.601,17.846,25.651,,,,3,72.509,1.2,0.8206,0.37407,1.3511,4.069,-7.152,15.542,2,1.4226,1.1297,2.0083,-6.033,-9.713,-2.463
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17,gauss,shift,True,21.554,15.803,25.194,,,,3,74.138,1.2,2.1215,1.0035,4.5969,-12.069,-25.911,-0.043,2,0.72276,0.6174,0.8648,6.968,2.617,11.535
AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009,gauss,shift,True,17.434,11.89,21.678,,,,3,81.397,1.2,1.2097,0.51153,2.5355,-2.959,-15.301,9.259,2,1.0396,0.82161,1.4214,-0.612,-4.541,3.635
AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3,gauss,shift,True,23.653,18.01,27.804,,,,3,69.233,1.2,1.3734,0.43524,3.9889,-6.347,-27.731,14.425,2,0.91908,0.68274,1.391,1.847,-5.897,9.373
AFR-44_rs_duration_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009,gauss,shift,True,17.752,11.719,22.196,,,,3,84.028,1.2,0.60287,0.23165,1.5426,9.925,-9.049,25.653,2,1.5876,0.80246,6.5608,-6.617,-17.007,6.973
