x y
299.125 -19.375
301.125 -19.375
301.125 -19.625
301.625 -19.625
301.625 -19.875
301.875 -19.875
301.875 -20.375
302.125 -20.375
302.125 -22.125
302.875 -22.125
302.875 -22.375
303.125 -22.375
303.125 -22.125
303.875 -22.125
303.875 -22.375
304.375 -22.375
304.375 -23.625
304.625 -23.625
304.625 -23.875
305.625 -23.875
305.625 -25.375
305.375 -25.375
305.375 -25.625
306.125 -25.625
306.125 -25.875
306.375 -25.875
306.375 -26.875
306.125 -26.875
306.125 -27.125
305.875 -27.125
305.875 -27.375
305.375 -27.375
305.375 -27.625
305.125 -27.625
305.125 -27.875
304.625 -27.875
304.625 -28.125
304.375 -28.125
304.375 -28.375
304.125 -28.375
304.125 -28.625
303.875 -28.625
303.875 -28.875
303.625 -28.875
303.625 -29.125
303.375 -29.125
303.375 -29.375
303.125 -29.375
303.125 -29.625
302.875 -29.625
302.875 -29.875
302.625 -29.875
302.625 -30.125
302.375 -30.125
302.375 -30.625
302.125 -30.625
302.125 -31.375
301.875 -31.375
301.875 -33.125
301.625 -33.125
301.625 -34.625
301.875 -34.625
301.875 -34.875
302.375 -34.875
302.375 -35.125
302.625 -35.125
302.625 -36.125
303.125 -36.125
303.125 -36.375
303.375 -36.375
303.375 -36.625
303.125 -36.625
303.125 -37.125
302.875 -37.125
302.875 -37.625
302.625 -37.625
302.625 -37.875
302.375 -37.875
302.375 -38.125
302.125 -38.125
302.125 -38.375
301.375 -38.375
301.375 -38.625
300.375 -38.625
300.375 -38.875
297.625 -38.875
297.625 -39.125
297.875 -39.125
297.875 -39.875
297.625 -39.875
297.625 -40.125
288.375 -40.125
288.375 -39.125
288.625 -39.125
288.625 -38.875
288.875 -38.875
288.875 -38.625
289.125 -38.625
289.125 -37.875
288.875 -37.875
288.875 -36.625
289.375 -36.625
289.375 -36.875
289.875 -36.875
289.875 -36.625
290.125 -36.625
290.125 -35.625
290.375 -35.625
290.375 -34.875
290.625 -34.875
290.625 -34.375
290.875 -34.375
290.875 -34.125
290.625 -34.125
290.625 -33.125
290.875 -33.125
290.875 -32.125
291.125 -32.125
291.125 -30.625
290.875 -30.625
290.875 -30.125
291.125 -30.125
291.125 -29.875
291.375 -29.875
291.375 -29.125
291.625 -29.125
291.625 -28.625
291.875 -28.625
291.875 -29.125
292.125 -29.125
292.125 -29.375
292.375 -29.375
292.375 -27.875
292.625 -27.875
292.625 -27.625
293.125 -27.625
293.125 -27.375
293.625 -27.375
293.625 -27.625
293.875 -27.625
293.875 -27.375
294.125 -27.375
294.125 -26.875
294.375 -26.875
294.375 -24.625
294.625 -24.625
294.625 -23.875
294.875 -23.875
294.875 -23.625
295.125 -23.625
295.125 -22.375
295.375 -22.375
295.375 -22.625
295.875 -22.625
295.875 -22.125
297.375 -22.125
297.375 -21.625
297.625 -21.625
297.625 -20.375
297.875 -20.375
297.875 -20.125
298.125 -20.125
298.125 -19.625
299.125 -19.625
299.125 -19.375
