distribution fit_type include_event return_period obs_start event_year restrain gmst_past gmst_fut
gauss scale on 10 1981 2022 0 -1.2 0.8
run gmst_file disp_est disp_lower disp_upper alpha_est alpha_lower alpha_upper rv rp_est rp_lower rp_upper pr_est pr_lower pr_upper di_est di_lower di_upper f_pr_est f_pr_lower f_pr_upper f_di_est f_di_lower f_di_upper f_disp_est f_disp_lower f_disp_upper f_alpha_est f_alpha_lower f_alpha_upper
p_lake-chad_jjas-mean_IPSL-CM5A-LR_r1_REMO2009 tas_Amon_IPSL-CM5A-LR_rcp85_r1i1p1 0.148 0.116 0.170 0.160 -0.170 0.498 3.6017 10.000 4.4391 52.470 3.4136 0.65135 14.612 7.167 -1.991 15.279 0.68624 0.52429 0.97478 -2.848 -5.527 -0.160 0.155 0.131 0.175 0.106 0.006 0.212
p_lake-chad_jjas-mean_MPI-ESM-LR_r1_REMO2009 tas_Amon_MPI-ESM-LR_rcp85_r1i1p1 0.142 0.106 0.166 -0.262 -0.757 0.195 4.4406 10.000 4.6252 35.012 0.47212 0.11672 1.9373 -6.676 -16.362 5.288 1.0494 0.71144 1.7902 0.458 -3.289 4.912 0.162 0.133 0.188 -0.022 -0.232 0.162
p_lake-chad_jjas-mean_MPI-ESM-MR_r1_RegCM4-3 tas_Amon_MPI-ESM-MR_rcp85_r1i1p1 0.102 0.078 0.123 -0.808 -1.318 -0.354 5.8426 10.000 4.5485 33.203 0.24728 0.57846E-01 0.74512 -9.456 -16.913 -1.964 1.0577 0.75925 1.6715 0.440 -2.348 3.449 0.103 0.084 0.117 -0.030 -0.236 0.163
p_lake-chad_jjas-mean_HadGEM2-ES_r1_RegCM4-3 tas_Amon_HadGEM2-ES_rcp85_r1i1p1 0.102 0.079 0.123 0.219 -0.130 0.587 6.3586 10.000 3.4124 45.322 10.001 1.6905 74.642 10.023 1.648 19.784 0.43460 0.24136 0.71289 -3.213 -5.420 -1.237 0.096 0.079 0.110 0.216 0.082 0.364
p_lake-chad_jjas-mean_HadGEM2-ES_r1_REMO2015 tas_Amon_HadGEM2-ES_rcp85_r1i1p1 0.116 0.083 0.146 0.296 -0.060 0.667 6.3384 10.000 4.2337 36.055 11.394 2.5309 117.52 12.092 4.005 21.779 0.53192 0.32372 0.93078 -3.043 -5.790 -0.285 0.126 0.105 0.143 0.195 0.018 0.372
p__lake-chad_jjas-meanHadGEM2-ES_r1_RegCM4-7 tas_Amon_HadGEM2-ES_rcp85_r1i1p1 0.162 0.126 0.187 0.565 -0.191 1.302 9.0264 10.000 2.8631 72.151 83.240 7.4609 2456.4 25.518 10.028 45.948 0.41110 0.19337 0.87612 -4.044 -7.453 -0.610 0.170 0.144 0.191 0.320 0.047 0.591
p_lake-chad_jjas-mean_MIROC5_r1_REMO2009 tas_Amon_MIROC5_rcp85_r1i1p1 0.164 0.122 0.193 0.664 -0.041 1.252 5.4509 10.000 3.6480 77.323 91.158 6.5830 4829.4 23.341 8.509 40.997 0.28056 0.17755 0.37469 -13.289 -17.169 -9.466 0.165 0.141 0.185 0.752 0.523 0.993
p_lake-chad_jjas-mean_HadGEM2-ES_r1_REMO2009 tas_Amon_HadGEM2-ES_rcp85_r1i1p1 0.134 0.100 0.164 0.556 0.111 0.998 6.3923 10.000 4.4489 38.285 18.266 4.2186 104.51 15.536 7.131 25.102 0.60903 0.37488 1.0879 -2.161 -4.806 0.306 0.146 0.127 0.162 0.129 -0.018 0.292
p_lake-chad_jjas-mean_EC-EARTH_r12_REMO2009 tas_Amon_EC-EARTH_rcp85_r12i1p1 0.165 0.128 0.192 -0.940 -1.646 -0.218 4.6681 10.000 4.1454 54.154 0.28328 0.44437E-01 0.92209 -12.016 -22.409 -1.031 1.2045 0.85685 1.8401 1.949 -1.604 5.417 0.164 0.140 0.185 -0.101 -0.275 0.083
p_lake-chad_jjas-mean_NorESM1-M_r1_RegCM4-7 tas_Amon_NorESM1-M_rcp85_r1i1p1
p_lake-chad_jjas-mean_MPI-ESM-MR_r1_RegCM4-7 tas_Amon_MPI-ESM-MR_rcp85_r1i1p1 0.161 0.126 0.185 -0.894 -1.830 0.111 6.2691 10.000 3.4106 97.019 0.28713 0.23704E-01 1.2594 -11.307 -25.092 2.171 1.2712 0.86127 2.2307 2.319 -1.682 6.782 0.152 0.128 0.173 -0.163 -0.467 0.123
