#time rs_duration
1970 62
1971 107
1972 81
1973 126
1974 100
1975 55
1976 95
1977 90
1978 62
1979 49
1980 64
1981 122
1982 60
1983 94
1984 83
1985 153
1986 46
1987 66
1988 115
1989 129
1990 79
1991 74
1992 88
1993 98
1994 90
1995 54
1996 54
1997 123
1998 83
1999 81
2000 101
2001 76
2002 67
2003 67
2004 52
2005 49
2006 61
2007 64
2008 71
2009 86
2010 90
2011 93
2012 92
2013 118
2014 56
2015 73
2016 85
2017 116
2018 76
2019 86
2020 64
2021 103
2022 64
2023 68
2024 116
2025 88
2026 59
2027 101
2028 120
2029 97
2030 114
2031 69
2032 68
2033 83
2034 84
2035 82
2036 80
2037 75
2038 81
2039 73
2040 92
2041 75
2042 54
2043 52
2044 63
2045 141
2046 78
2047 47
2048 105
2049 56
2050 96
# AFR-44_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-3
