#time rs_duration
1970 80
1971 82
1972 70
1973 89
1974 113
1975 92
1976 73
1977 98
1978 111
1979 97
1980 92
1981 129
1982 87
1983 103
1984 78
1985 103
1986 85
1987 87
1988 83
1989 71
1990 79
1991 93
1992 89
1993 76
1994 92
1995 114
1996 87
1997 102
1998 78
1999 86
2000 132
2001 80
2002 91
2003 80
2004 84
2005 95
2006 105
2007 100
2008 95
2009 99
2010 107
2011 81
2012 102
2013 96
2014 93
2015 88
2016 81
2017 133
2018 109
2019 103
2020 81
2021 79
2022 86
2023 87
2024 104
2025 79
2026 84
2027 108
2028 88
2029 97
2030 94
2031 91
2032 112
2033 93
2034 97
2035 107
2036 85
2037 125
2038 74
2039 70
2040 122
2041 99
2042 83
2043 99
2044 80
2045 108
2046 96
2047 99
2048 92
2049 90
2050 118
# AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015
