#time june_total
1950 109.51233
1951 99.167
1952 90.85191
1953 63.979794
1954 48.039837
1955 159.53261
1956 101.59021
1957 40.053013
1958 164.83365
1959 97.89479
1960 26.271992
1961 90.1642
1962 74.05383
1963 67.98144
1964 101.32786
1965 195.68045
1966 126.170906
1967 106.391266
1968 45.491745
1969 63.847008
1970 95.75276
1971 45.947433
1972 93.019615
1973 61.56918
1974 57.261227
1975 136.01308
1976 96.5141
1977 74.54197
1978 70.32686
1979 115.12361
1980 118.49259
1981 148.87042
1982 47.135815
1983 126.178444
1984 41.347492
1985 96.46452
1986 55.703907
1987 99.7476
1988 78.81601
1989 159.9928
1990 129.87503
1991 173.77426
1992 117.379684
1993 100.03395
1994 68.64155
1995 111.60621
1996 99.2444
1997 198.49734
1998 105.92951
1999 123.353355
2000 125.80824
2001 67.48061
2002 99.967834
2003 32.220432
2004 110.674774
2005 87.2542
2006 138.26198
2007 105.19256
2008 171.1318
2009 53.325367
2010 56.99511
2011 81.10004
2012 114.626526
2013 49.89109
2014 75.516136
2015 168.01712
2016 70.10689
2017 56.889297
2018 52.18869
2019 118.75357
2020 129.20534
2021 109.28624
2022 130.84958
2023 64.902374
2024 114.502556
2025 182.03171
2026 92.18663
2027 153.90941
2028 70.21965
2029 119.8468
2030 69.953064
2031 124.25401
2032 87.15849
2033 86.41635
2034 62.587204
2035 54.367565
2036 92.81232
2037 94.65578
2038 81.25448
2039 44.762543
2040 35.925873
2041 215.0578
2042 76.10746
2043 79.48962
2044 128.92587
2045 136.61647
2046 139.87624
2047 164.08662
2048 85.66215
2049 122.65903
2050 52.167015
# variable [mm d-1]
# AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15
