#time june_total
1950 0.23951578
1951 1.2144374
1952 4.2231913
1953 1.3995184
1954 2.9721878
1955 1.633287
1956 0.34442842
1957 0.24379
1958 3.8125455
1959 1.9754306
1960 2.9768739
1961 2.8117924
1962 3.8385708
1963 2.2561662
1964 0.5843452
1965 0.5080795
1966 1.3858536
1967 0.9251321
1968 1.3821383
1969 5.7867584
1970 2.9116497
1971 2.8936136
1972 0.3523067
1973 2.0744963
1974 5.8744516
1975 1.7240589
1976 2.051802
1977 12.50135
1978 1.7258968
1979 3.914462
1980 6.036086
1981 1.6517074
1982 0.5522633
1983 8.266289
1984 0.10248516
1985 4.6073446
1986 4.114152
1987 0.4465709
1988 2.3226407
1989 4.2789574
1990 1.1309781
1991 0.48692727
1992 2.8408027
1993 1.3418318
1994 1.011432
1995 0.5742456
1996 2.460629
1997 18.635223
1998 1.7307715
1999 1.2806118
2000 2.548604
2001 0.41716743
2002 0.7908514
2003 25.288017
2004 0.88568497
2005 2.439373
2006 0.22947492
2007 1.5043846
2008 2.3759995
2009 0.5802313
2010 1.7834094
2011 2.3482509
2012 2.2775624
2013 2.631733
2014 0.17696422
2015 5.3166327
2016 4.50917
2017 3.0613232
2018 3.2855263
2019 3.6325164
2020 1.1223854
2021 0.6226933
2022 0.30694446
2023 0.28188506
2024 0.64596206
2025 2.3643742
2026 4.574997
2027 4.1839848
2028 22.816135
2029 2.0725758
2030 3.793631
2031 6.4575934
2032 2.3643885
2033 1.6944782
2034 12.268771
2035 12.207951
2036 7.947577
2037 1.8405913
2038 1.1937833
2039 32.80243
2040 3.5031805
2041 3.01155
2042 0.16396208
2043 0.9186706
2044 5.1723757
2045 21.20726
2046 7.4799514
2047 2.5069005
2048 2.784447
2049 0.4874102
2050 0.14999755
# variable [mm d-1]
# june_total_MPI-ESM1-2-HR_r1i1p1f1
