#time rs_onset
1950 157
1951 126
1952 148
1953 197
1954 206
1955 201
1956 196
1957 114
1958 198
1959 168
1960 204
1961 184
1962 115
1963 205
1964 214
1965 185
1966 191
1967 209
1968 178
1969 202
1970 203
1971 218
1972 171
1973 186
1974 178
1975 211
1976 149
1977 188
1978 201
1979 198
1980 191
1981 194
1982 127
1983 211
1984 165
1985 201
1986 200
1987 179
1988 192
1989 200
1990 194
1991 189
1992 217
1993 180
1994 202
1995 196
1996 186
1997 182
1998 180
1999 206
2000 192
2001 131
2002 181
2003 198
2004 176
2005 120
2006 197
2007 193
2008 184
2009 194
2010 206
2011 191
2012 210
2013 228
2014 183
2015 202
2016 180
2017 174
2018 186
2019 204
2020 107
2021 126
2022 189
2023 205
2024 188
2025 211
2026 188
2027 195
2028 111
2029 198
2030 191
2031 193
2032 190
2033 165
2034 187
2035 193
2036 210
2037 192
2038 119
2039 192
2040 188
2041 100
2042 181
2043 112
2044 162
2045 160
2046 104
2047 169
2048 198
2049 198
2050 202
# AFR-44_rs_onset_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T
