#time rs_duration
1970 45
1971 48
1972 72
1973 42
1974 43
1975 73
1976 54
1977 65
1978 44
1979 63
1980 58
1981 77
1982 64
1983 52
1984 56
1985 48
1986 50
1987 84
1988 70
1989 41
1990 60
1991 64
1992 53
1993 51
1994 120
1995 107
1996 53
1997 59
1998 48
1999 80
2000 107
2001 109
2002 68
2003 62
2004 69
2005 59
2006 98
2007 59
2008 65
2009 78
2010 96
2011 91
2012 67
2013 80
2014 72
2015 65
2016 65
2017 98
2018 72
2019 70
2020 41
2021 51
2022 60
2023 44
2024 82
2025 63
2026 64
2027 85
2028 58
2029 65
2030 60
2031 74
2032 46
2033 47
2034 67
2035 85
2036 69
2037 73
2038 86
2039 49
2040 89
2041 62
2042 61
2043 53
2044 67
2045 61
2046 63
2047 76
2048 69
2049 71
2050 55
# AFR-22_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7
