#time june_total
1950 10.219477
1951 9.692469
1952 2.9238696
1953 19.327976
1954 7.8682384
1955 48.66195
1956 11.492256
1957 27.30506
1958 9.377555
1959 15.719105
1960 9.157923
1961 13.877923
1962 16.647238
1963 14.884038
1964 11.409566
1965 26.618868
1966 1.2519383
1967 5.4348702
1968 17.666792
1969 5.020846
1970 10.020474
1971 19.015804
1972 15.211894
1973 9.464961
1974 20.324797
1975 14.319072
1976 10.97511
1977 13.31085
1978 18.044077
1979 21.646435
1980 22.928915
1981 14.340574
1982 10.53673
1983 12.63568
1984 13.123829
1985 7.390431
1986 15.009618
1987 30.006887
1988 17.27837
1989 2.4307523
1990 26.711271
1991 8.660852
1992 23.834398
1993 15.262667
1994 10.419409
1995 10.429144
1996 31.176334
1997 3.8871152
1998 8.48727
1999 15.99456
2000 8.054325
2001 29.680878
2002 11.6799
2003 12.579487
2004 13.030322
2005 11.154175
# variable [mm d-1]
# AFR-44_june_total_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009
