#time rs_duration
1950 56
1951 55
1952 43
1953 63
1954 71
1955 38
1956 98
1957 62
1958 73
1959 45
1960 94
1961 90
1962 47
1963 37
1964 54
1965 96
1966 58
1967 56
1968 98
1969 84
1970 52
1971 95
1972 62
1973 83
1974 86
1975 63
1976 80
1977 36
1978 113
1979 74
1980 73
1981 91
1982 68
1983 81
1984 92
1985 95
1986 103
1987 76
1988 84
1989 44
1990 76
1991 96
1992 89
1993 108
1994 61
1995 84
1996 75
1997 84
1998 93
1999 56
2000 90
2001 95
2002 83
2003 59
2004 89
2005 83
2006 86
2007 55
2008 113
2009 96
2010 46
2011 86
2012 100
2013 93
2014 90
2015 90
2016 37
2017 83
2018 72
2019 94
2020 80
2021 82
2022 86
2023 63
2024 93
2025 103
2026 62
2027 40
2028 66
2029 81
2030 55
2031 108
2032 95
2033 100
2034 140
2035 41
2036 44
2037 88
2038 66
2039 88
2040 60
2041 81
2042 78
2043 28
2044 52
2045 102
2046 56
2047 73
2048 45
2049 68
2050 54
# AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15
