#time rs_duration
1950 62
1951 72
1952 64
1953 52
1954 56
1955 70
1956 56
1957 77
1958 81
1959 73
1960 63
1961 65
1962 66
1963 58
1964 66
1965 65
1966 75
1967 72
1968 50
1969 76
1970 87
1971 64
1972 72
1973 73
1974 76
1975 75
1976 65
1977 74
1978 53
1979 74
1980 60
1981 57
1982 68
1983 72
1984 58
1985 68
1986 74
1987 59
1988 63
1989 61
1990 69
1991 76
1992 46
1993 75
1994 60
1995 61
1996 59
1997 71
1998 74
1999 66
2000 80
2001 91
2002 73
2003 70
2004 68
2005 65
2006 69
2007 85
2008 53
2009 74
2010 71
2011 92
2012 84
2013 77
2014 47
2015 79
2016 61
2017 66
2018 77
2019 65
2020 65
2021 73
2022 80
2023 70
2024 63
2025 79
2026 96
2027 69
2028 70
2029 88
2030 79
2031 61
2032 78
2033 68
2034 72
2035 82
2036 90
2037 73
2038 57
2039 99
2040 86
2041 65
2042 78
2043 73
2044 64
2045 96
2046 73
2047 74
2048 84
2049 78
# rs_duration_EC-Earth3P-HR_r1i1p1f1
