#time june_total
1950 55.499634
1951 110.81837
1952 37.537457
1953 168.45593
1954 38.5475
1955 96.6766
1956 37.01571
1957 20.436703
1958 53.103115
1959 121.58552
1960 22.193573
1961 53.07092
1962 26.445345
1963 265.49347
1964 52.246407
1965 226.05132
1966 63.17176
1967 41.562416
1968 171.87129
1969 65.244896
1970 75.59154
1971 9.973563
1972 57.612446
1973 93.49809
1974 36.03623
1975 98.97568
1976 53.73427
1977 38.08702
1978 38.94945
1979 71.639175
1980 109.38898
1981 158.55023
1982 8.396766
1983 127.72302
1984 35.30098
1985 29.073198
1986 68.933556
1987 62.354733
1988 60.153595
1989 42.36217
1990 26.635485
1991 110.122375
1992 21.781351
1993 54.642517
1994 150.02324
1995 117.25202
1996 107.10199
1997 154.77425
1998 71.886536
1999 36.599827
2000 150.40184
2001 156.62625
2002 121.36925
2003 14.643296
2004 87.58862
2005 121.39131
2006 155.02394
2007 73.58324
2008 112.6296
2009 72.478386
2010 35.28128
2011 141.75403
2012 167.95825
2013 77.58193
2014 217.9233
2015 203.63016
2016 94.406364
2017 153.48082
2018 20.47848
2019 149.54881
2020 81.54381
2021 19.930016
2022 70.12844
2023 94.59154
2024 106.94235
2025 148.3229
2026 77.06222
2027 148.45093
2028 38.886333
2029 86.43152
2030 150.58754
2031 34.269753
2032 128.98445
2033 115.74544
2034 88.74764
2035 104.826675
2036 56.86037
2037 39.883495
2038 37.87068
2039 28.85514
2040 309.57062
2041 113.59785
2042 116.479256
2043 81.878914
2044 107.67722
2045 18.819408
2046 133.89597
2047 143.91962
2048 134.4456
2049 104.36573
2050 71.19686
# variable [mm d-1]
# AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22T
