#time rs_onset
1950 207
1951 204
1952 202
1953 190
1954 157
1955 163
1956 173
1957 176
1958 193
1959 185
1960 167
1961 154
1962 149
1963 144
1964 181
1965 158
1966 172
1967 183
1968 142
1969 180
1970 198
1971 152
1972 183
1973 188
1974 169
1975 150
1976 180
1977 149
1978 151
1979 167
1980 163
1981 152
1982 151
1983 183
1984 154
1985 144
1986 138
1987 183
1988 181
1989 178
1990 155
1991 165
1992 178
1993 151
1994 209
1995 152
1996 186
1997 183
1998 148
1999 201
2000 164
2001 161
2002 155
2003 149
2004 156
2005 183
2006 170
2007 196
2008 153
2009 157
2010 216
2011 188
2012 147
2013 151
2014 154
2015 158
2016 149
2017 180
2018 200
2019 149
2020 188
2021 173
2022 130
2023 183
2024 156
2025 170
2026 190
2027 226
2028 192
2029 187
2030 217
2031 146
2032 152
2033 156
2034 134
2035 177
2036 219
2037 185
2038 189
2039 163
2040 201
2041 172
2042 195
2043 239
2044 182
2045 160
2046 127
2047 164
2048 207
2049 164
2050 219
# AFR-22_rs_onset_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15
