#time rs_onset
1950 147
1951 138
1952 176
1953 178
1954 132
1955 169
1956 172
1957 140
1958 167
1959 181
1960 143
1961 179
1962 141
1963 183
1964 166
1965 167
1966 180
1967 133
1968 176
1969 169
1970 158
1971 138
1972 186
1973 180
1974 169
1975 165
1976 145
1977 168
1978 167
1979 145
1980 173
1981 148
1982 172
1983 159
1984 145
1985 134
1986 173
1987 178
1988 155
1989 156
1990 170
1991 171
1992 126
1993 160
1994 181
1995 166
1996 147
1997 169
1998 172
1999 197
2000 158
2001 161
2002 127
2003 167
2004 118
2005 170
2006 174
2007 169
2008 170
2009 147
2010 192
2011 173
2012 178
2013 174
2014 179
2015 181
2016 173
2017 159
2018 175
2019 188
2020 171
2021 124
2022 166
2023 183
2024 136
2025 178
2026 178
2027 175
2028 186
2029 180
2030 181
2031 139
2032 182
2033 166
2034 162
2035 177
2036 166
2037 185
2038 173
2039 161
2040 182
2041 179
2042 176
2043 162
2044 176
2045 136
2046 179
2047 185
2048 156
2049 135
2050 165
# rs_onset_CMCC-CM2-HR4_r1i1p1f1
