#time rs_duration
1950 126
1951 94
1952 84
1953 112
1954 76
1955 101
1956 113
1957 100
1958 79
1959 102
1960 108
1961 131
1962 97
1963 91
1964 103
1965 89
1966 108
1967 93
1968 96
1969 106
1970 83
1971 111
1972 122
1973 102
1974 99
1975 86
1976 87
1977 92
1978 118
1979 127
1980 83
1981 88
1982 112
1983 95
1984 104
1985 89
1986 106
1987 98
1988 65
1989 95
1990 103
1991 78
1992 91
1993 110
1994 81
1995 86
1996 92
1997 116
1998 86
1999 80
2000 98
2001 85
2002 112
2003 89
2004 128
2005 127
2006 83
2007 92
2008 97
2009 88
2010 100
2011 88
2012 73
2013 108
2014 102
2015 96
2016 86
2017 98
2018 91
2019 113
2020 89
2021 99
2022 84
2023 94
2024 110
2025 118
2026 88
2027 99
2028 90
2029 96
2030 63
2031 94
2032 38
2033 98
2034 119
2035 98
2036 70
2037 82
2038 84
2039 94
2040 88
2041 122
2042 90
2043 108
2044 82
2045 77
2046 110
2047 117
2048 103
2049 86
2050 74
# AFR-44_rs_duration_MIROC-MIROC5_r1i1p1_GERICS-REMO2009
