#time june_total
1950 5.032856
1951 1.9507045
1952 1.9513822
1953 0.49683702
1954 1.8260717
1955 2.1328068
1956 5.7830043
1957 0.5187692
1958 2.8123052
1959 9.834128
1960 1.4212174
1961 3.8169
1962 1.9942533
1963 0.8017522
1964 47.713818
1965 4.1205063
1966 0.94852436
1967 6.1260457
1968 1.219285
1969 5.584364
1970 1.7500603
1971 3.9385905
1972 6.4453287
1973 2.5545108
1974 2.8009703
1975 3.5121157
1976 3.0017602
1977 4.306738
1978 1.4416784
1979 1.115848
1980 4.4280496
1981 2.385816
1982 0.32392007
1983 1.78958
1984 9.156528
1985 1.5642393
1986 0.4431147
1987 1.6366928
1988 0.76455635
1989 4.104678
1990 11.356991
1991 0.9000101
1992 1.9179077
1993 3.6127388
1994 1.643065
1995 7.5255604
1996 0.49258813
1997 3.6950269
1998 2.6910954
1999 9.919984
2000 17.323044
2001 0.68506324
2002 8.871276
2003 5.6722517
2004 3.5766718
2005 3.996194
2006 11.91413
2007 3.62403
2008 0.9080112
2009 2.5579824
2010 1.512361
2011 5.4507475
2012 6.8750114
2013 0.9628689
2014 4.4330645
2015 10.431818
2016 2.9544222
2017 2.4004297
2018 2.1495068
2019 15.553995
2020 2.1067455
2021 1.8329473
2022 2.3158886
2023 1.5236709
2024 2.7920098
2025 3.7047606
2026 3.2002513
2027 0.5175304
2028 4.8578033
2029 7.6810703
2030 2.8835406
2031 3.7629342
2032 0.860564
2033 13.740917
2034 10.990605
2035 6.704027
2036 7.537962
2037 7.02468
2038 1.1352195
2039 18.743954
2040 3.1107635
2041 10.041168
2042 16.37453
2043 1.8437335
2044 2.7938004
2045 3.2972107
2046 3.5118985
2047 1.9697444
2048 3.4831803
2049 0.83392584
2050 4.728955
# variable [mm d-1]
# june_total_MPI-ESM1-2-XR_r1i1p1f1
