#time rs_onset
1950 208
1951 135
1952 201
1953 202
1954 131
1955 119
1956 153
1957 190
1958 224
1959 168
1960 198
1961 163
1962 193
1963 196
1964 225
1965 138
1966 123
1967 207
1968 142
1969 157
1970 139
1971 226
1972 225
1973 242
1974 173
1975 211
1976 191
1977 151
1978 275
1979 167
1980 175
1981 155
1982 161
1983 198
1984 134
1985 173
1986 224
1987 211
1988 207
1989 233
1990 221
1991 191
1992 186
1993 168
1994 186
1995 209
1996 230
1997 240
1998 242
1999 207
2000 146
2001 198
2002 229
2003 244
2004 208
2005 205
2006 257
2007 151
2008 202
2009 168
2010 139
2011 210
2012 213
2013 201
2014 194
2015 207
2016 211
2017 153
2018 155
2019 205
2020 151
2021 186
2022 165
2023 211
2024 194
2025 157
2026 215
2027 190
2028 193
2029 135
2030 209
2031 153
2032 162
2033 147
2034 192
2035 210
2036 220
2037 176
2038 191
2039 167
2040 195
2041 200
2042 184
2043 200
2044 202
2045 166
2046 200
2047 140
2048 177
2049 196
2050 178
# rs_onset_CNRM-CM6-1_r1i1p1f2
