#time rs_onset
1950 172
1951 179
1952 184
1953 162
1954 190
1955 156
1956 190
1957 180
1958 185
1959 188
1960 182
1961 168
1962 188
1963 173
1964 176
1965 164
1966 206
1967 177
1968 174
1969 183
1970 197
1971 200
1972 180
1973 197
1974 190
1975 185
1976 204
1977 188
1978 167
1979 160
1980 160
1981 189
1982 186
1983 206
1984 176
1985 174
1986 166
1987 153
1988 176
1989 187
1990 222
1991 187
1992 147
1993 192
1994 166
1995 165
1996 201
1997 185
1998 188
1999 191
2000 197
2001 156
2002 165
2003 163
2004 192
2005 198
# AFR-44_rs_onset_NOAA-GFDL-GFDL-ESM2G_r1i1p1_GERICS-REMO2009
