#time june_total
1970 9.81296
1971 15.66244
1972 14.451685
1973 5.4687815
1974 22.166304
1975 10.596784
1976 10.326255
1977 14.703754
1978 5.6280627
1979 18.28143
1980 11.504817
1981 57.30115
1982 41.879856
1983 18.949354
1984 3.0515912
1985 7.768389
1986 15.5931835
1987 7.4848547
1988 14.265381
1989 25.549734
1990 20.691008
1991 22.272902
1992 10.819071
1993 8.762879
1994 7.6938314
1995 24.809927
1996 11.330927
1997 30.50057
1998 25.976
1999 20.081059
2000 18.52743
2001 14.708499
2002 8.396193
2003 15.788961
2004 25.684704
2005 13.466885
2006 16.155445
2007 29.156029
2008 10.339318
2009 5.0521617
2010 17.58188
2011 28.856106
2012 10.781914
2013 11.241994
2014 42.036022
2015 22.535646
2016 33.17226
2017 24.80219
2018 14.857579
2019 26.451801
2020 13.425732
2021 23.089933
2022 12.8075
2023 23.280115
2024 35.444386
2025 27.554573
2026 30.024534
2027 18.382849
2028 21.027967
2029 10.52009
2030 16.779646
2031 16.685492
2032 32.928196
2033 37.21735
2034 14.732277
2035 19.277308
2036 26.688574
2037 19.259617
2038 15.091147
2039 28.640495
2040 24.198818
2041 26.31638
2042 9.3915825
2043 31.402903
2044 23.978012
2045 11.133092
2046 22.947258
2047 33.221233
2048 32.914066
2049 32.229687
2050 16.144445
# variable [mm d-1]
# AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015
