#time rs_duration
1950 54
1951 97
1952 83
1953 28
1954 36
1955 117
1956 96
1957 102
1958 46
1959 79
1960 36
1961 88
1962 83
1963 45
1964 55
1965 48
1966 48
1967 37
1968 28
1969 40
1970 69
1971 63
1972 45
1973 44
1974 32
1975 31
1976 91
1977 79
1978 37
1979 90
1980 54
1981 72
1982 56
1983 65
1984 49
1985 98
1986 66
1987 65
1988 39
1989 65
1990 59
1991 90
1992 73
1993 85
1994 105
1995 56
1996 74
1997 53
1998 39
1999 57
2000 90
2001 37
2002 27
2003 56
2004 56
2005 45
2006 55
2007 98
2008 59
2009 82
2010 51
2011 56
2012 69
2013 72
2014 58
2015 79
2016 70
2017 70
2018 112
2019 68
2020 33
2021 72
2022 79
2023 81
2024 89
2025 101
2026 76
2027 67
2028 81
2029 54
2030 78
2031 31
2032 30
2033 84
2034 62
2035 76
2036 52
2037 102
2038 80
2039 98
2040 80
2041 78
2042 84
2043 61
2044 66
2045 81
2046 34
2047 33
2048 84
2049 65
2050 93
# rs_duration_CNRM-CM6-1_r1i1p1f2
