#time rs_onset
1950 144
1951 171
1952 179
1953 136
1954 150
1955 160
1956 160
1957 182
1958 146
1959 159
1960 137
1961 156
1962 162
1963 159
1964 124
1965 172
1966 201
1967 139
1968 208
1969 207
1970 134
1971 157
1972 147
1973 156
1974 162
1975 164
1976 200
1977 146
1978 145
1979 156
1980 136
1981 144
1982 162
1983 195
1984 145
1985 158
1986 159
1987 153
1988 178
1989 151
1990 159
1991 138
1992 163
1993 142
1994 148
1995 140
1996 133
1997 163
1998 147
1999 154
2000 172
2001 213
2002 187
2003 178
2004 194
2005 145
2006 146
2007 166
2008 151
2009 146
2010 144
2011 139
2012 184
2013 148
2014 156
2015 165
2016 137
2017 189
2018 142
2019 172
2020 174
2021 150
2022 184
2023 145
2024 159
2025 181
2026 176
2027 148
2028 149
2029 189
2030 197
2031 159
2032 153
2033 207
2034 139
2035 216
2036 167
2037 187
2038 163
2039 177
2040 175
2041 145
2042 228
2043 169
2044 170
2045 161
2046 151
2047 163
2048 157
2049 168
2050 183
# AFR-44_rs_onset_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17
