#time rs_duration
1970 66
1971 65
1972 37
1973 43
1974 54
1975 99
1976 63
1977 37
1978 51
1979 51
1980 95
1981 111
1982 106
1983 66
1984 36
1985 88
1986 73
1987 89
1988 84
1989 108
1990 89
1991 67
1992 81
1993 61
1994 75
1995 77
1996 31
1997 45
1998 59
1999 114
2000 109
2001 86
2002 127
2003 54
2004 95
2005 66
2006 43
2007 116
2008 70
2009 83
2010 93
2011 87
2012 83
2013 98
2014 109
2015 116
2016 74
2017 87
2018 115
2019 104
2020 66
2021 59
2022 68
2023 53
2024 72
2025 89
2026 63
2027 120
2028 133
2029 91
2030 67
2031 98
2032 91
2033 104
2034 67
2035 91
2036 98
2037 58
2038 56
2039 55
2040 74
2041 126
2042 50
2043 52
2044 79
2045 52
2046 69
2047 65
2048 54
2049 87
2050 51
# AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_GERICS-REMO2015
