#time june_total
1950 59.260883
1951 64.14029
1952 52.056328
1953 44.00233
1954 23.02354
1955 57.4823
1956 33.142727
1957 66.8416
1958 66.44792
1959 46.777435
1960 51.797134
1961 73.99401
1962 28.470957
1963 11.853693
1964 75.22529
1965 31.35981
1966 25.46673
1967 40.08029
1968 40.85191
1969 41.768116
1970 40.53387
1971 63.870544
1972 41.747684
1973 42.920254
1974 61.20686
1975 58.03997
1976 60.998596
1977 55.373947
1978 51.921295
1979 90.551865
1980 58.192425
1981 45.635803
1982 82.84716
1983 43.559643
1984 58.209263
1985 37.736248
1986 62.179607
1987 43.422726
1988 45.79898
1989 50.792465
1990 91.27522
1991 34.162346
1992 80.08818
1993 24.2144
1994 52.617985
1995 48.98303
1996 127.11864
1997 64.43633
1998 31.006508
1999 47.401173
2000 64.94656
2001 55.003445
2002 30.856968
2003 43.951
2004 70.46156
2005 70.24307
2006 57.269886
2007 64.26541
2008 107.66973
2009 66.82808
2010 57.20745
2011 83.66523
2012 83.596954
2013 68.42755
2014 28.27368
2015 74.73024
2016 80.03022
2017 70.83908
2018 47.768646
2019 68.20169
2020 70.3418
2021 63.84593
2022 37.626095
2023 61.144054
2024 32.560688
2025 57.066994
2026 52.55228
2027 41.244118
2028 58.707115
2029 74.33043
2030 30.649773
2031 48.784363
2032 25.170956
2033 49.524517
2034 70.67587
2035 83.928474
2036 97.64983
2037 21.961645
2038 46.12923
2039 63.3306
2040 72.298935
2041 77.53721
2042 34.007782
2043 47.40345
2044 42.374916
2045 64.594734
2046 39.88751
2047 66.93016
2048 56.935017
2049 65.029594
2050 35.507526
# variable [mm d-1]
# june_total_CMCC-CM2-VHR4_r1i1p1f1
