#time rs_duration
1950 123
1951 141
1952 115
1953 113
1954 82
1955 114
1956 96
1957 105
1958 137
1959 103
1960 110
1961 124
1962 100
1963 74
1964 88
1965 83
1966 100
1967 86
1968 87
1969 67
1970 95
1971 111
1972 82
1973 87
1974 92
1975 95
1976 121
1977 102
1978 118
1979 122
1980 105
1981 88
1982 116
1983 85
1984 100
1985 96
1986 81
1987 97
1988 91
1989 105
1990 100
1991 86
1992 129
1993 99
1994 118
1995 91
1996 113
1997 155
1998 105
1999 102
2000 129
2001 94
2002 102
2003 91
2004 121
2005 105
2006 130
2007 89
2008 119
2009 106
2010 91
2011 91
2012 111
2013 111
2014 79
2015 117
2016 104
2017 100
2018 86
2019 91
2020 130
2021 125
2022 108
2023 115
2024 100
2025 122
2026 125
2027 109
2028 104
2029 96
2030 97
2031 108
2032 81
2033 118
2034 128
2035 120
2036 140
2037 104
2038 95
2039 102
2040 143
2041 120
2042 92
2043 97
2044 100
2045 80
2046 106
2047 136
2048 113
2049 101
2050 74
# rs_duration_CMCC-CM2-VHR4_r1i1p1f1
