#time june_total
1981 20.77792
1982 18.315311
1983 20.41463
1984 8.893804
1985 17.555044
1986 15.455364
1987 16.52355
1988 20.790224
1989 16.4853
1990 16.078531
1991 21.213406
1992 15.581186
1993 15.473202
1994 15.520348
1995 17.798632
1996 19.242546
1997 22.304565
1998 22.499102
1999 10.215958
2000 15.772483
2001 22.95529
2002 18.926579
2003 31.973774
2004 17.550331
2005 35.143276
2006 13.044528
2007 16.061958
2008 24.823673
2009 20.747446
2010 25.361258
2011 23.264696
2012 31.24738
2013 21.320614
2014 13.454416
2015 16.540306
2016 25.4013
2017 27.984577
2018 30.902824
2019 24.663261
2020 19.929356
2021 15.592215
# variable [mm/day]
# june_total_chirps
