#time june_total
1950 4.872462
1951 5.7460957
1952 7.1563387
1953 6.5016847
1954 20.154135
1955 7.084271
1956 10.602081
1957 5.422822
1958 29.314426
1959 4.8020105
1960 10.779613
1961 2.4165823
1962 6.946892
1963 4.184656
1964 10.078079
1965 6.673986
1966 32.82185
1967 9.559044
1968 21.885515
1969 29.221699
1970 6.0757446
1971 0.31570637
1972 2.7795296
1973 0.7087497
1974 1.7458807
1975 1.6971406
1976 2.0280874
1977 11.621582
1978 3.7924654
1979 8.383004
1980 1.9240807
1981 3.8012705
1982 9.346668
1983 2.4404244
1984 10.699101
1985 2.698412
1986 1.3096282
1987 1.45472
1988 1.8529527
1989 1.6556715
1990 3.717302
1991 3.1062346
1992 7.0466084
1993 5.4491487
1994 3.4123714
1995 3.047704
1996 0.27810407
1997 4.415945
1998 4.4408965
1999 30.373785
2000 8.871419
2001 3.468139
2002 7.3839016
2003 1.2233689
2004 1.897927
2005 1.81232
2006 1.2786311
2007 28.355495
2008 52.18848
2009 2.5925996
2010 52.174786
2011 25.460636
2012 1.659616
2013 1.3721431
2014 8.181554
2015 10.54651
2016 6.2856
2017 44.65686
2018 17.061113
2019 8.598646
2020 15.214235
2021 5.0628204
2022 9.868496
2023 0.7785468
2024 0.7755519
2025 23.300795
2026 11.710882
2027 6.010205
2028 11.593561
2029 25.154846
2030 16.11915
2031 65.48606
2032 29.836668
2033 10.456635
2034 4.0783334
2035 20.21219
2036 4.7155457
2037 7.2049384
2038 6.402262
2039 11.187698
2040 5.9524517
2041 5.473661
2042 0.949889
2043 2.9580278
2044 22.649183
2045 43.64862
2046 11.103967
2047 16.559837
2048 7.485564
2049 4.322114
2050 2.6444669
# variable [mm d-1]
# june_total_CNRM-CM6-1_r1i1p1f2
