#time june_total
1950 0.5211055
1951 4.343359
1952 0.00048091268
1953 3.1075926
1954 0.7406666
1955 0.09121853
1956 0.59227663
1957 0.5630387
1958 4.7906203
1959 1.8834008
1960 1.5188078
1961 0.5057164
1962 0.97340804
1963 1.0731139
1964 3.1829755
1965 4.4230685
1966 7.2078824
1967 0.5164106
1968 0.9332803
1969 2.3049088
1970 1.320464
1971 0.42414868
1972 0.36273453
1973 2.2810075
1974 1.0395783
1975 2.2049317
1976 2.6522458
1977 0.8253991
1978 4.102197
1979 8.013937
1980 1.2180969
1981 4.4363036
1982 3.299913
1983 1.1996082
1984 2.4236002
1985 4.0571957
1986 0.12602358
1987 4.6523004
1988 2.0578701
1989 4.061681
1990 1.3933468
1991 3.260425e-05
1992 0.033692416
1993 4.41036
1994 0.6325632
1995 9.77772
1996 7.8249836
1997 0.47755855
1998 0.9560951
1999 12.120523
2000 4.900676
2001 1.9450514
2002 1.7777997
2003 14.835512
2004 6.199678
2005 3.3068087
2006 0.41739962
2007 0.81694835
2008 6.0930176
2009 3.4545712
2010 0.8732926
2011 3.631722
2012 2.0685725
2013 10.432308
2014 2.000552
2015 8.202479
2016 2.4666054
2017 8.56999
2018 5.7420645
2019 5.286726
2020 1.0189235
2021 6.595151
2022 1.1317424
2023 6.039236
2024 3.6883802
2025 1.0808185
2026 5.4518423
2027 1.4125465
2028 0.70312697
2029 9.358814
2030 0.00095774984
2031 8.106774
2032 1.5256997
2033 0.7046757
2034 0.844556
2035 6.8580875
2036 10.966146
2037 0.5311436
2038 4.575827
2039 5.5214195
2040 1.9933178
2041 17.108713
2042 1.9596457
2043 2.7650154
2044 1.7187328
2045 12.587489
2046 4.83098
2047 5.160507
2048 1.1928428
2049 3.454477
# variable [mm d-1]
# june_total_EC-Earth3P_r1i1p1f1
