#time rs_duration
1970 53
1971 74
1972 55
1973 35
1974 74
1975 50
1976 73
1977 73
1978 58
1979 74
1980 65
1981 63
1982 79
1983 67
1984 84
1985 37
1986 60
1987 75
1988 61
1989 58
1990 63
1991 78
1992 74
1993 56
1994 63
1995 46
1996 58
1997 60
1998 74
1999 41
2000 63
2001 41
2002 80
2003 79
2004 50
2005 48
2006 40
2007 46
2008 69
2009 68
2010 56
2011 73
2012 82
2013 73
2014 61
2015 72
2016 68
2017 64
2018 42
2019 86
2020 41
2021 48
2022 40
2023 68
2024 74
2025 69
2026 75
2027 77
2028 38
2029 42
2030 66
2031 63
2032 66
2033 55
2034 51
2035 93
2036 40
2037 81
2038 77
2039 68
2040 52
2041 52
2042 52
2043 58
2044 33
2045 50
2046 48
2047 44
2048 51
2049 52
2050 58
# AFR-22_rs_duration_MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7
