#time rs_onset
1950 166
1951 158
1952 158
1953 181
1954 171
1955 118
1956 151
1957 176
1958 150
1959 168
1960 160
1961 126
1962 179
1963 179
1964 116
1965 192
1966 188
1967 168
1968 185
1969 159
1970 149
1971 160
1972 153
1973 163
1974 158
1975 181
1976 180
1977 154
1978 148
1979 131
1980 148
1981 154
1982 150
1983 146
1984 183
1985 138
1986 174
1987 188
1988 165
1989 164
1990 152
1991 186
1992 145
1993 143
1994 138
1995 177
1996 183
1997 144
1998 125
1999 162
2000 125
2001 167
2002 171
2003 155
2004 148
2005 162
2006 162
2007 172
2008 146
2009 162
2010 160
2011 174
2012 193
2013 177
2014 169
2015 169
2016 143
2017 189
2018 168
2019 106
2020 149
2021 173
2022 177
2023 181
2024 196
2025 165
2026 177
2027 179
2028 153
2029 142
2030 134
2031 145
2032 169
2033 128
2034 154
2035 162
2036 174
2037 157
2038 187
2039 167
2040 138
2041 159
2042 166
2043 164
2044 179
2045 119
2046 156
2047 183
2048 172
2049 178
2050 183
# rs_onset_HadGEM3-GC31-LM_r1i14p1f1
