#time june_total
1970 45.818596
1971 0.09467951
1972 0.1290705
1973 20.712097
1974 13.01648
1975 2.6230452
1976 1.931232
1977 0.94560534
1978 1.3775036
1979 0.075535625
1980 20.057627
1981 55.53449
1982 2.993904
1983 0.7420931
1984 0.30579132
1985 48.456875
1986 7.097893
1987 5.009664
1988 82.6711
1989 7.420051
1990 23.382685
1991 0.24998139
1992 70.594826
1993 7.604735
1994 10.151094
1995 19.489416
1996 0.17092209
1997 0.11880089
1998 0.36974728
1999 5.1260266
2000 5.5598283
2001 0.17418581
2002 7.952048
2003 5.994231
2004 1.6029928
2005 4.6318474
2006 0.059262127
2007 71.1018
2008 3.4400296
2009 15.924637
2010 9.646982
2011 0.02780317
2012 3.6546407
2013 68.968056
2014 0.77764666
2015 3.1011798
2016 0.2079864
2017 16.14697
2018 31.347889
2019 15.281901
2020 19.740726
2021 11.014241
2022 11.644726
2023 1.9088745
2024 0.040671937
2025 3.4918935
2026 0.11792617
2027 208.35419
2028 90.71582
2029 15.3730755
2030 113.675545
2031 0.68968093
2032 64.688805
2033 0.073121
2034 103.72739
2035 3.1582887
2036 0.44875646
2037 2.9293177
2038 12.124409
2039 0.0771498
2040 0.7140951
2041 2.9487696
2042 16.685728
2043 0.29417583
2044 0.11590232
2045 1.8896015
2046 0.031136386
2047 0.032161374
2048 0.8256612
2049 0.39552432
2050 0.76092553
# variable [mm d-1]
# AFR-22_june_total_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7
