#time june_total
1950 70.22124
1951 86.63691
1952 36.85536
1953 137.93983
1954 56.989723
1955 33.673264
1956 37.969723
1957 41.181385
1958 24.943172
1959 43.089043
1960 47.521553
1961 87.66136
1962 163.5317
1963 87.26665
1964 81.524216
1965 136.73265
1966 56.782146
1967 57.45572
1968 134.90674
1969 15.162043
1970 95.22501
1971 65.92462
1972 11.143211
1973 128.16975
1974 45.64345
1975 146.88814
1976 25.701283
1977 59.35083
1978 135.80699
1979 55.295727
1980 94.07371
1981 103.162964
1982 142.61617
1983 34.436676
1984 92.0849
1985 75.53018
1986 95.82958
1987 73.676346
1988 18.057777
1989 27.20146
1990 124.008995
1991 170.77344
1992 76.92769
1993 91.529465
1994 90.65814
1995 111.402016
1996 43.584183
1997 50.070484
1998 65.13061
1999 34.065235
2000 96.7578
2001 94.68976
2002 142.52953
2003 159.43558
2004 101.08547
2005 135.68286
2006 36.39329
2007 162.62836
2008 142.14087
2009 65.24601
2010 57.60695
2011 72.635086
2012 131.45819
2013 124.578606
2014 59.081738
2015 107.639496
2016 137.74777
2017 78.68942
2018 17.004677
2019 92.59755
2020 12.570696
2021 111.23338
2022 112.565445
2023 53.245693
2024 82.87863
2025 70.97654
2026 77.97383
2027 40.14438
2028 71.97672
2029 79.25439
2030 104.971375
2031 175.76791
2032 85.49455
2033 129.7672
2034 55.278393
2035 76.1291
2036 17.03886
2037 71.86847
2038 24.215565
2039 65.2626
2040 32.582954
2041 77.177765
2042 35.535507
2043 64.91213
2044 42.140465
2045 41.30604
2046 71.02103
2047 23.304693
2048 21.013386
2049 49.927013
2050 96.88098
# variable [mm d-1]
# AFR-22_june_total_NCC-NorESM1-M_r1i1p1_CLMcom-KIT-CCLM5-0-15
