#time rs_duration
1950 70
1951 86
1952 111
1953 111
1954 85
1955 95
1956 98
1957 83
1958 100
1959 94
1960 90
1961 70
1962 107
1963 95
1964 67
1965 98
1966 79
1967 65
1968 68
1969 69
1970 73
1971 63
1972 73
1973 73
1974 118
1975 100
1976 76
1977 103
1978 105
1979 117
1980 76
1981 124
1982 74
1983 104
1984 73
1985 79
1986 77
1987 103
1988 96
1989 76
1990 74
1991 89
1992 80
1993 73
1994 127
1995 121
1996 121
1997 129
1998 81
1999 88
2000 110
2001 105
2002 101
2003 84
2004 96
2005 101
2006 91
2007 105
2008 98
2009 104
2010 104
2011 84
2012 65
2013 86
2014 105
2015 73
2016 112
2017 105
2018 88
2019 73
2020 84
2021 77
2022 96
2023 96
2024 114
2025 102
2026 81
2027 111
2028 76
2029 118
2030 100
2031 103
2032 95
2033 108
2034 108
2035 146
2036 86
2037 116
2038 112
2039 76
2040 104
2041 99
2042 64
2043 72
2044 96
2045 102
2046 98
2047 93
2048 106
2049 68
2050 103
# AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009
