#time rs_onset
1950 181
1951 172
1952 176
1953 147
1954 168
1955 156
1956 180
1957 172
1958 157
1959 143
1960 177
1961 168
1962 163
1963 159
1964 153
1965 150
1966 164
1967 173
1968 160
1969 149
1970 167
1971 159
1972 163
1973 182
1974 195
1975 199
1976 181
1977 163
1978 213
1979 140
1980 150
1981 171
1982 166
1983 154
1984 177
1985 171
1986 157
1987 162
1988 149
1989 154
1990 154
1991 144
1992 175
1993 145
1994 150
1995 158
1996 165
1997 140
1998 145
1999 165
2000 146
2001 149
2002 155
2003 188
2004 147
2005 155
2006 144
2007 167
2008 149
2009 154
2010 168
2011 201
2012 144
2013 160
2014 145
2015 149
2016 165
2017 146
2018 171
2019 183
2020 142
2021 168
2022 200
2023 161
2024 151
2025 149
2026 179
2027 154
2028 166
2029 148
2030 149
2031 155
2032 151
2033 157
2034 167
2035 158
2036 159
2037 157
2038 196
2039 148
2040 157
2041 157
2042 153
2043 155
2044 164
2045 169
2046 165
2047 146
2048 162
2049 187
2050 173
# AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17
