#time rs_onset
1975 157
1976 179
1977 180
1978 174
1979 160
1980 167
1981 174
1982 169
1983 156
1984 180
1985 186
1986 155
1987 130
1988 157
1989 148
1990 165
1991 180
1992 173
1993 191
1994 169
1995 157
1996 174
1997 179
1998 181
1999 157
2000 145
2001 190
2002 150
2003 191
2004 171
2005 181
2006 162
2007 157
2008 186
2009 176
2010 176
2011 174
2012 168
2013 141
2014 162
2015 149
2016 177
2017 180
2018 176
2019 180
2020 129
2021 172
2022 183
2023 174
2024 182
2025 150
2026 174
2027 180
2028 176
2029 145
2030 138
2031 176
2032 168
2033 152
2034 178
2035 175
2036 175
2037 173
2038 178
2039 173
2040 136
2041 207
2042 146
2043 180
2044 174
2045 179
2046 156
2047 174
2048 188
2049 167
2050 177
# AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3
