#time rs_duration
1950 85
1951 64
1952 87
1953 73
1954 73
1955 73
1956 79
1957 60
1958 73
1959 78
1960 83
1961 62
1962 79
1963 70
1964 76
1965 78
1966 54
1967 68
1968 71
1969 72
1970 71
1971 70
1972 83
1973 70
1974 81
1975 76
1976 69
1977 77
1978 62
1979 65
1980 68
1981 70
1982 84
1983 66
1984 77
1985 72
1986 67
1987 61
1988 62
1989 75
1990 85
1991 71
1992 59
1993 63
1994 76
1995 77
1996 63
1997 75
1998 77
1999 68
2000 78
2001 76
2002 72
2003 93
2004 67
2005 85
2006 60
2007 68
2008 63
2009 64
2010 67
2011 77
2012 80
2013 83
2014 70
2015 63
2016 77
2017 64
2018 82
2019 64
2020 76
2021 99
2022 76
2023 78
2024 74
2025 73
2026 66
2027 63
2028 68
2029 75
2030 59
2031 77
2032 65
2033 69
2034 82
2035 78
2036 98
2037 75
2038 96
2039 104
2040 94
2041 64
2042 74
2043 77
2044 63
2045 97
2046 83
2047 74
2048 66
2049 77
2050 61
# rs_duration_MPI-ESM1-2-HR_r1i1p1f1
