#time rs_duration
1950 114
1951 69
1952 59
1953 64
1954 74
1955 75
1956 73
1957 45
1958 73
1959 100
1960 64
1961 64
1962 73
1963 68
1964 75
1965 78
1966 82
1967 42
1968 65
1969 69
1970 67
1971 61
1972 93
1973 82
1974 107
1975 64
1976 66
1977 43
1978 51
1979 55
1980 86
1981 51
1982 64
1983 61
1984 113
1985 57
1986 46
1987 80
1988 63
1989 66
1990 63
1991 87
1992 58
1993 75
1994 78
1995 75
1996 84
1997 78
1998 77
1999 65
2000 60
2001 41
2002 95
2003 37
2004 99
2005 48
2006 94
2007 80
2008 101
2009 52
2010 67
2011 69
2012 54
2013 57
2014 89
2015 60
2016 64
2017 84
2018 89
2019 73
2020 59
2021 61
2022 80
2023 83
2024 72
2025 55
2026 89
2027 79
2028 39
2029 55
2030 60
2031 71
2032 79
2033 45
2034 84
2035 74
2036 55
2037 69
2038 49
2039 82
2040 39
2041 56
2042 98
2043 34
2044 70
2045 102
2046 54
2047 86
2048 66
2049 51
2050 55
# AFR-44_rs_duration_ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22T
