#time june_total
1950 15.771863
1951 10.903444
1952 8.772395
1953 20.63317
1954 10.022897
1955 37.901398
1956 13.255501
1957 15.660595
1958 24.248327
1959 11.015699
1960 8.459005
1961 11.526422
1962 30.463388
1963 24.932686
1964 9.258539
1965 27.238573
1966 22.362255
1967 19.763231
1968 15.535465
1969 75.63224
1970 6.428299
1971 16.944168
1972 22.01266
1973 9.271699
1974 18.73116
1975 12.297178
1976 17.6214
1977 22.45255
1978 7.9336047
1979 13.687365
1980 16.464998
1981 19.296066
1982 31.917608
1983 23.817749
1984 2.4670181
1985 29.164072
1986 18.147528
1987 11.066389
1988 12.800974
1989 38.83014
1990 23.460772
1991 20.034967
1992 18.265268
1993 19.233751
1994 9.221277
1995 22.665424
1996 10.172371
1997 38.84742
1998 36.232708
1999 9.148599
2000 10.877166
2001 16.695398
2002 12.928058
2003 21.801537
2004 21.349628
2005 21.49443
2006 17.874798
2007 21.898666
2008 19.000881
2009 5.5782504
2010 29.602028
2011 17.626879
2012 7.9201975
2013 13.852249
2014 41.85604
2015 17.558672
2016 29.830196
2017 25.04804
2018 13.810372
2019 27.84518
2020 11.661951
2021 12.426104
2022 16.346512
2023 21.651112
2024 29.066061
2025 28.320055
2026 54.6412
2027 15.000207
2028 13.1209135
2029 11.498618
2030 30.441809
2031 36.744396
2032 27.18918
2033 28.821552
2034 14.273177
2035 14.941403
2036 24.306513
2037 18.755264
2038 8.733316
2039 29.394579
2040 9.454293
2041 14.599122
2042 6.9591823
2043 25.300055
2044 25.963146
2045 10.31504
2046 17.468685
2047 17.02519
2048 61.302628
2049 27.646328
2050 20.754448
# variable [mm d-1]
# AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009
