#time rs_duration
1975 104
1976 72
1977 80
1978 89
1979 100
1980 89
1981 102
1982 83
1983 111
1984 76
1985 76
1986 84
1987 123
1988 104
1989 97
1990 93
1991 72
1992 88
1993 56
1994 83
1995 98
1996 89
1997 63
1998 74
1999 113
2000 120
2001 86
2002 100
2003 64
2004 85
2005 82
2006 95
2007 105
2008 75
2009 50
2010 77
2011 94
2012 93
2013 122
2014 98
2015 102
2016 81
2017 71
2018 81
2019 80
2020 138
2021 77
2022 77
2023 92
2024 82
2025 90
2026 89
2027 82
2028 77
2029 110
2030 117
2031 62
2032 111
2033 118
2034 81
2035 53
2036 87
2037 90
2038 58
2039 64
2040 117
2041 55
2042 116
2043 87
2044 108
2045 100
2046 98
2047 84
2048 72
2049 99
2050 78
# AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3
