#time june_total
1970 8.174385
1971 0.41071168
1972 2.7112532
1973 14.082835
1974 5.171519
1975 1.7068259
1976 8.345775
1977 3.7058995
1978 3.0298584
1979 23.510885
1980 8.822624
1981 24.251171
1982 16.883745
1983 46.83828
1984 19.274792
1985 1.8468006
1986 13.608567
1987 2.1382694
1988 24.889467
1989 16.278332
1990 0.028125005
1991 28.600847
1992 33.119644
1993 7.691031
1994 21.280807
1995 33.143356
1996 137.7524
1997 141.76215
1998 166.70496
1999 0.47649014
2000 29.63462
2001 18.958338
2002 93.88677
2003 2.208197
2004 12.8050585
2005 66.00036
2006 38.059395
2007 94.78258
2008 0.28628212
2009 0.8333053
2010 1.0595287
2011 2.5002496
2012 96.50181
2013 15.336703
2014 56.1048
2015 67.584274
2016 47.00641
2017 17.755535
2018 10.845179
2019 84.65961
2020 40.671005
2021 8.928972
2022 10.16586
2023 71.669586
2024 44.74635
2025 6.529772
2026 50.481133
2027 5.260256
2028 11.103586
2029 17.277317
2030 28.33636
2031 2.3309631
2032 2.171535
2033 53.280556
2034 1.7350343
2035 4.7576103
2036 8.996959
2037 0.7352312
2038 0.790308
2039 0.2832151
2040 31.029198
2041 32.12059
2042 16.131824
2043 29.778648
2044 17.832743
2045 0.5104099
2046 6.5833845
2047 2.0320084
2048 0.7346757
2049 8.235972
2050 4.868951
# variable [mm d-1]
# AFR-22_june_total_MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7
