#time june_total
1950 22.473267
1951 137.14354
1952 63.821907
1953 144.30428
1954 62.651817
1955 131.88812
1956 83.55764
1957 36.862617
1958 92.54657
1959 130.84225
1960 16.094803
1961 56.934933
1962 96.2251
1963 157.91705
1964 126.05714
1965 211.1004
1966 112.11171
1967 85.85921
1968 84.608086
1969 109.8491
1970 96.585976
1971 68.82833
1972 66.7308
1973 44.802284
1974 110.71064
1975 95.91093
1976 67.01564
1977 88.115135
1978 41.115826
1979 161.50427
1980 171.85976
1981 119.28223
1982 73.9518
1983 151.36017
1984 29.676785
1985 74.07399
1986 45.716747
1987 87.22449
1988 141.98566
1989 166.97847
1990 59.321503
1991 145.31561
1992 35.020996
1993 183.17416
1994 89.540375
1995 181.222
1996 52.525585
1997 107.340546
1998 70.10469
1999 72.79624
2000 149.51306
2001 90.66116
2002 193.0169
2003 56.010204
2004 165.91628
2005 113.02559
2006 148.3786
2007 63.125996
2008 156.69563
2009 135.79729
2010 42.34895
2011 47.77552
2012 227.5578
2013 126.605644
2014 113.81624
2015 180.94972
2016 94.32064
2017 145.2262
2018 51.839108
2019 115.20529
2020 130.11096
2021 59.52543
2022 81.49241
2023 81.458305
2024 177.16893
2025 202.6689
2026 74.948715
2027 157.09346
2028 62.24849
2029 192.97467
2030 149.4584
2031 158.95169
2032 111.24656
2033 88.35163
2034 81.672386
2035 84.79511
2036 152.52892
2037 153.02089
2038 75.23323
2039 97.47301
2040 138.54301
2041 180.0342
2042 103.83832
2043 158.31316
2044 69.40546
2045 54.28161
2046 76.69248
2047 132.55371
2048 152.08105
2049 104.855225
2050 42.315197
# variable [mm d-1]
# AFR-44_june_total_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17
