#time rs_onset
1950 202
1951 154
1952 174
1953 162
1954 168
1955 176
1956 174
1957 177
1958 172
1959 177
1960 154
1961 188
1962 157
1963 162
1964 179
1965 183
1966 169
1967 191
1968 156
1969 183
1970 147
1971 205
1972 154
1973 186
1974 159
1975 173
1976 155
1977 191
1978 167
1979 169
1980 182
1981 186
1982 175
1983 167
1984 169
1985 173
1986 176
1987 185
1988 191
1989 183
1990 172
1991 177
1992 168
1993 191
1994 184
1995 181
1996 163
1997 155
1998 189
1999 165
2000 170
2001 178
2002 168
2003 164
2004 183
2005 183
2006 200
2007 174
2008 184
2009 179
2010 159
2011 182
2012 188
2013 190
2014 187
2015 159
2016 165
2017 189
2018 158
2019 183
2020 170
2021 185
2022 182
2023 192
2024 193
2025 196
2026 171
2027 157
2028 174
2029 159
2030 164
2031 183
2032 198
2033 175
2034 191
2035 199
2036 167
2037 167
2038 174
2039 169
2040 172
2041 178
2042 185
2043 158
2044 193
2045 164
2046 169
2047 194
2048 177
2049 194
2050 163
# AFR-44_rs_onset_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009
